text,annotation task,number of annotations,annotations,annotators,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain
"#BlackLivesMatter #BLM #BlackLivesMatterDC #NoKneeling so an employee at  <user>  just hung up on me for calling abt a forgotten drink..a team lead called me ignorant while crying about the 1st employee..and i was given a half ass apology from a mngr ""we'll talk to him"" #BLM...",offensiveness detection,5,"1,1,1,0,0","Ann448,Ann132,Ann535,Ann339,Ann236",en,1,test,0.4,0.6,BLM
"Watch for free, ""America Street,"" on racism and murderous violence against Black Americans, by béninois filmmaker, Indrissou Mora Kpai, shot in the wake of the Walter Scott murder and the Mother Emanuel AME Church massacre. #GeorgeFloyd #BlackLivesMatter  <url>",offensiveness detection,5,"0,0,1,0,0","Ann535,Ann480,Ann398,Ann84,Ann813",en,0,test,0.8,0.2,BLM
"<user> It’s forced socialism, so... no",offensiveness detection,5,"0,0,0,0,0","Ann85,Ann393,Ann71,Ann626,Ann789",en,0,test,1.0,0.0,Elections2020
"Gee. Thanks, Dick. <url>",offensiveness detection,5,"1,1,0,1,1","Ann448,Ann189,Ann594,Ann370,Ann563",en,1,test,0.2,0.8,Covid-19
"<user> Come on man. Listen Jack , okay here’s the deal... you have a hard enough time with the alphabet, let alone run a country😘✌️.",offensiveness detection,5,"0,1,0,1,1","Ann251,Ann64,Ann569,Ann85,Ann626",en,1,test,0.4,0.6,Elections2020
Who TF is asking these motherfuckers to dance in honor of George Floyd? Like please!!,offensiveness detection,5,"1,1,1,1,1","Ann535,Ann283,Ann448,Ann242,Ann132",en,1,test,0.0,1.0,BLM
"We are happy to announce that WE ARE NOW REOPEN FOR TESTING!!! Due to COVID-19 concerns, we are limiting testing to APPOINTMENT ONLY and we have added many new procedures to keep you and our clients safe. Please call to inquire today! <url>",offensiveness detection,5,"0,0,0,0,0","Ann408,Ann189,Ann12,Ann499,Ann594",en,0,test,1.0,0.0,Covid-19
<user> <user> and their contributors are a cancer on our society. They purposely feed disinformation to their viewers. Morally bankrupt and dangerous.,offensiveness detection,5,"0,0,1,0,1","Ann729,Ann643,Ann408,Ann206,Ann771",en,0,test,0.6,0.4,Covid-19
<user> BAN ANONYMOUS ACCOUNTS,offensiveness detection,5,"0,0,0,0,0","Ann283,Ann480,Ann535,Ann383,Ann329",en,0,test,1.0,0.0,BLM
<user> COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID  You’ve failed!! Just stop the BS!,offensiveness detection,5,"1,0,0,0,0","Ann408,Ann412,Ann71,Ann85,Ann789",en,0,test,0.8,0.2,Elections2020
Total Confirmed Covid Cases by County For UT   7-30-20:  This and our Covid series of visualizations cuts through the noise thanks to USAFacts and a top team of data scientists. #covidvislualizations #coviddata #smcanalytics <url>,offensiveness detection,5,"0,0,0,0,0","Ann448,Ann189,Ann484,Ann162,Ann36",en,0,test,1.0,0.0,Covid-19
"<user> <user> <user> Not buying what your selling,-#Socialismneverworks",offensiveness detection,5,"0,0,0,0,0","Ann660,Ann222,Ann685,Ann142,Ann448",en,0,test,1.0,0.0,Elections2020
Fuck you covid 19 <url>,offensiveness detection,5,"1,1,1,1,1","Ann448,Ann729,Ann206,Ann772,Ann327",en,1,test,0.0,1.0,Covid-19
"<user> <user> Where do people get these ridiculous takes. George Floyd was a 6 foot 6 grown man and she is a 17 year old woman. If they are willing to let a man crying for his mother to die they problem would be fine taking out one more person. It's the officers who killed Floyd, not her.",offensiveness detection,5,"0,0,0,0,1","Ann550,Ann535,Ann229,Ann183,Ann688",en,0,test,0.8,0.2,BLM
Right-wing Accelerationists and Infiltrators = White Supremacists at Protests:  <url>,offensiveness detection,5,"1,0,0,0,1","Ann448,Ann462,Ann550,Ann206,Ann229",en,0,test,0.6,0.4,BLM
<user> Your done! Hell no #JOEBIDEN2020,offensiveness detection,5,"0,0,0,0,0","Ann492,Ann571,Ann71,Ann206,Ann631",en,0,test,1.0,0.0,Elections2020
"Shit got real, real fast.",offensiveness detection,5,"0,0,0,0,0","Ann813,Ann269,Ann703,Ann426,Ann329",en,0,test,1.0,0.0,BLM
"Reality. Super!  #BlackLivesMatter is a racist black hate group, Soros’ target for manipulation. They are now fully allied with ANTIFA and just as worthy to be designated as a Domestic Terrorists.  Who was looting, burning, and murdering in the riots? ANTIFA?  BLM INSPIRED BLACKS <url>",offensiveness detection,5,"1,1,1,0,1","Ann167,Ann660,Ann299,Ann485,Ann408",en,1,test,0.2,0.8,BLM
This is what the happens in the brains of people who believe that 5g internet causes Covid-19.,offensiveness detection,5,"1,0,0,1,0","Ann252,Ann620,Ann30,Ann283,Ann484",en,0,test,0.6,0.4,Covid-19
"<user> <user> Hey bruh,  that's  not cool. Democrats  play dirty but we should  play smarter. #MAGA",offensiveness detection,5,"0,0,1,1,0","Ann770,Ann538,Ann272,Ann170,Ann150",en,0,test,0.6,0.4,Elections2020
"<user> <user> I heard the AntiChrist pontificate from the pulpit using all the six words of his vocabulary, assisted by scores of made-up mumbled &amp; slurred terms.  He was ‘Biden his time and summoning forth his goons for more dirty work.   - Thus Spake Zarathustra",offensiveness detection,5,"1,1,1,1,1","Ann429,Ann71,Ann771,Ann571,Ann647",en,1,test,0.0,1.0,Elections2020
<user> <user> <user> How dare you tweet crap during George Floyd’s funeral!,offensiveness detection,5,"0,0,0,0,0","Ann85,Ann383,Ann462,Ann281,Ann469",en,0,test,1.0,0.0,BLM
"george floyd was known as ""mr smile"" and ""gentle giant"" because of his kindness. he always protected women from the bar/resturant he worked at &amp; used to wait with them until their ubers came. fuck the police who killed this precious man.   #BlackLivesMatters  #RAISETHEDEGREE <url>",offensiveness detection,5,"1,1,0,1,1","Ann535,Ann283,Ann448,Ann242,Ann132",en,1,test,0.2,0.8,BLM
"If people think racism isn’t alive and well in Canada, you are living under a rock! I hope they not only arrested him for mischief but for a hate crime as well. Considering it was a BLM march, it would be well deserved, asshole! #protests2020 #BLMTO",offensiveness detection,5,"1,0,1,0,1","Ann45,Ann236,Ann408,Ann446,Ann85",en,1,test,0.4,0.6,BLM
"<user> <user> <user> Wait, is this the clown who said that the riots would not stop after the elections? Whose husband announced that he was the husband of the next President? Who is fooling the East Indian people into believing that she is one of them? Dumped Jamaica now?",offensiveness detection,5,"0,0,0,0,1","Ann485,Ann130,Ann660,Ann685,Ann408",en,0,test,0.8,0.2,Elections2020
"hey #Austin store owners need to order new store signs that post ""no shoes, no shirt, no mask- no service"" #atx #austintx cc <user> <user> <user> <user> <user> #COVID19 #COVID19SWEDEN",offensiveness detection,5,"0,0,0,0,0","Ann448,Ann206,Ann189,Ann546,Ann446",en,0,test,1.0,0.0,Covid-19
"This is not a game <user> Moron! You worry more about your stupid hats than 170,000 American lives lost from covid...go away you imbecile...🇺🇸",offensiveness detection,5,"0,1,1,1,1","Ann189,Ann771,Ann289,Ann187,Ann66",en,1,test,0.2,0.8,Covid-19
"<user> <user> <user> So you admit that Trump was also classless? I'd say that failing to condemn white supremacists is pretty classless. Yet you pretended not to understand why he failed to do it. Brian, just admit it - the president is also a white nationalist.",offensiveness detection,5,"0,1,0,0,1","Ann571,Ann92,Ann254,Ann660,Ann685",en,0,test,0.6,0.4,Elections2020
"<user> For you and your Chinese overlords, 操你",offensiveness detection,5,"0,1,1,1,0","Ann21,Ann408,Ann229,Ann236,Ann393",en,1,test,0.4,0.6,Elections2020
This is not even CLOSE to true!!!,offensiveness detection,5,"0,0,0,0,0","Ann670,Ann771,Ann206,Ann408,Ann257",en,0,test,1.0,0.0,Covid-19
"As COVID-19 continues to impact the nation, learn how <user> works to support Florida’s veterans and military families: <url> <url>",offensiveness detection,5,"0,0,0,0,0","Ann448,Ann106,Ann772,Ann189,Ann408",en,0,test,1.0,0.0,Covid-19
<user> His ONLY plan is to steal the WH. He's a one-trick jack<user>,offensiveness detection,5,"0,0,0,1,0","Ann492,Ann71,Ann571,Ann359,Ann631",en,0,test,0.8,0.2,Elections2020
<user> <user> <user> Putin's #BunkerBitch  #TrumpIsADomesticTerrorist #TrumpDeathToll104K #VoteBlueLikeYourLifeDependsOnIt #BlackLivesMatter #EnoughIsEnough🖕😘 <url>,offensiveness detection,5,"1,1,1,1,1","Ann535,Ann448,Ann398,Ann383,Ann670",en,1,test,0.0,1.0,BLM
<user> This is such a lie. This tweet is egregious. Delete it,offensiveness detection,5,"0,0,0,0,0","Ann283,Ann416,Ann789,Ann676,Ann492",en,0,test,1.0,0.0,Elections2020
<user> <user> We lost count of how many white men have killed you George  i cant breathe floyd makes number what?,offensiveness detection,5,"0,0,0,0,0","Ann329,Ann229,Ann535,Ann546,Ann602",en,0,test,1.0,0.0,BLM
"""NEW COVID-19 ADVISOR IS A FRAUD AND NOT AN EXPERT!  Researchers &amp; doctors at Stanford's Med School say Alas is NOT AN EXPERT IN DISEASES. In fact, he """"peddles falsehoods.""""  ABC NEWS 9/10/20 and Business Insider, 9/29/20""",offensiveness detection,5,"1,0,0,1,0","Ann111,Ann515,Ann206,Ann296,Ann257",en,0,test,0.6,0.4,Covid-19
Good job <user> 😉,offensiveness detection,5,"0,0,0,0,0","Ann206,Ann82,Ann796,Ann563,Ann252",en,0,test,1.0,0.0,Covid-19
<user> Dear God.,offensiveness detection,5,"0,0,0,0,1","Ann21,Ann236,Ann267,Ann538,Ann597",en,0,test,0.8,0.2,Elections2020
Definitely not punching down,offensiveness detection,5,"0,0,0,0,0","Ann535,Ann480,Ann398,Ann84,Ann813",en,0,test,1.0,0.0,BLM
‘We’re moving in the wrong direction’: Houston mayor issues dire warning about Texas COVID-19 explosion - Raw Story <url> via  <user>,offensiveness detection,5,"0,0,0,0,0","Ann107,Ann313,Ann484,Ann283,Ann448",en,0,test,1.0,0.0,Covid-19
"<user> Bush was incredibly bad, and both left the economy in shambles. But Bush succesfully fought Sars Covid 1, and implemented the pandemic rapid response team in the WH, trump sent them home. Bush was a foe to Putin and never got a love letter from North Korea. So trump is much worse",offensiveness detection,5,"0,0,0,0,0","Ann107,Ann283,Ann484,Ann446,Ann448",en,0,test,1.0,0.0,Covid-19
"Useful Idiots Podcast: George Floyd protests, Dems’ failures and the 2020 election with guests Marianne Williamson and historian Dr. Gerald Horne <url>",offensiveness detection,5,"1,0,1,1,0","Ann229,Ann236,Ann408,Ann446,Ann85",en,1,test,0.4,0.6,BLM
<user> Some people talk much but say little,offensiveness detection,5,"0,0,0,0,1","Ann660,Ann685,Ann142,Ann448,Ann60",en,0,test,0.8,0.2,Elections2020
"<user> <user> <user> God Bless the USA &amp; Pres Trump! EVIL NWO Globalist MAFIA is paying anarchist/thugs to destroy and destabilize America! Russia hoax failed, Impeachment failed, Covid19 falied, now Riots, burning, destroying America's cities! This fight is Good vs EVIL! <url>",offensiveness detection,5,"0,1,0,0,0","Ann448,Ann206,Ann189,Ann643,Ann499",en,0,test,0.8,0.2,Covid-19
<user> THIS IS WHAT YALL DO?! #BlackLivesMatter #NewYork #NYPD <url>,offensiveness detection,5,"0,0,0,0,0","Ann535,Ann229,Ann408,Ann251,Ann236",en,0,test,1.0,0.0,BLM
"just... a question, how can you able to murder someone who has that smile..... i mean... how... what a heartless being....",offensiveness detection,5,"0,0,0,0,0","Ann383,Ann283,Ann448,Ann813,Ann535",en,0,test,1.0,0.0,BLM
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> I can't believe my fellow Minnesotans are that Fling stupid. Its always been a dem state but.....Biden and heals up Harris. Good God,offensiveness detection,5,"1,1,0,1,0","Ann597,Ann150,Ann626,Ann85,Ann361",en,1,test,0.4,0.6,Elections2020
"Who said RIP is Muslim abbreviation ... Show me ??. Itsy a general term use for all religion ....   Say  "" He is Allah , (Who) is One """,offensiveness detection,5,"0,0,0,0,0","Ann550,Ann229,Ann236,Ann408,Ann446",en,0,test,1.0,0.0,BLM
"MY. GOD. 🎯  All true.   It is utterly unconscionable   The cruelty burns through my soul — I will never understand what the GOP did to the American people  This party should DIE, just like all their victims of Covid  #MAGA MORONS   #VOTE THEM ALL OUT   🚨🚨🚨",offensiveness detection,5,"1,1,1,0,1","Ann448,Ann106,Ann772,Ann189,Ann408",en,1,test,0.2,0.8,Covid-19
<user> <user> Trump golfing this weekend while people die from Covid19? <url>,offensiveness detection,5,"1,0,0,0,0","Ann798,Ann772,Ann370,Ann603,Ann12",en,0,test,0.8,0.2,Covid-19
"Funny how he calls the Protesters ""Anarchists"" but not the Police Officer who murdered George Floyd and the other Officers who stood over and watched.... <url>",offensiveness detection,5,"0,0,0,0,0","Ann749,Ann535,Ann229,Ann236,Ann408",en,0,test,1.0,0.0,BLM
<user> <user> <user> And this Big Guy will mindlessly drug hoover all the Cocaine off Malia Obama in the West Wing kitchen before doing megadeals on China White. <url>,offensiveness detection,5,"1,0,1,0,0","Ann229,Ann658,Ann254,Ann236,Ann538",en,0,test,0.6,0.4,Elections2020
This is nuts. Parents don’t want their kids tested.,offensiveness detection,5,"0,0,0,0,0","Ann408,Ann206,Ann189,Ann499,Ann620",en,0,test,1.0,0.0,Covid-19
"<user> <user> <user> <user> Their word someone shot at them.🤔  Kind of like their word they didn't murder #GeorgeFloyd, or they ""accidentally killed"" #BreannaTaylor ?",offensiveness detection,5,"0,0,1,0,0","Ann252,Ann535,Ann229,Ann375,Ann236",en,0,test,0.8,0.2,BLM
"Nothing said at all. <user> mentioned David Dorn last night on Fox. Very respectful. He was a great man, black &amp; didn’t get the respect he deserved. Off duty &amp; went to help a business being rioted because of the Thugs. Sad🙏🏼🙏🏼🙏🏼🙏🏼",offensiveness detection,5,"0,0,0,0,0","Ann283,Ann535,Ann670,Ann329,Ann229",en,0,test,1.0,0.0,BLM
Looter Shot Dead by Pawn Shop Owner in George Floyd #Minneapolis  Riots Midwestern city rocked by anarchy <url>,offensiveness detection,5,"0,0,0,1,0","Ann535,Ann229,Ann408,Ann64,Ann110",en,0,test,0.8,0.2,BLM
"<user> <user> <user> ""GOP operatives"" 😂",offensiveness detection,5,"0,0,0,1,0","Ann40,Ann571,Ann771,Ann363,Ann252",en,0,test,0.8,0.2,Elections2020
"With great Italian Americans like Fiorello La Guardia in US history, why would anyone want a racist like Columbus to be the symbol of a nationality?  Hell, pick Garibaldi who at least supported the anti-slavery movement in the US.   <url>",offensiveness detection,5,"1,1,1,0,1","Ann143,Ann229,Ann339,Ann236,Ann408",en,1,test,0.2,0.8,BLM
<user> Pennsylvania a racist state. I’m every city we’re shown by the cops and they don’t give a fuck. State regionals too? Nah fuck them all. I’m from York and a York city cop re-enacted George Floyd’s death. Sign and get this man off the force.  <url>,offensiveness detection,5,"1,0,1,1,1","Ann603,Ann660,Ann299,Ann408,Ann707",en,1,test,0.2,0.8,BLM
don't take the mark of the beast washington disease pedophiles baby eating drinking blood murderers coroner=corona sheeple lead to the slaughter house HOAX VIRUS THE JESUITS ARE REAL TERRORIST,offensiveness detection,5,"1,1,1,0,1","Ann448,Ann106,Ann772,Ann189,Ann408",en,1,test,0.2,0.8,Covid-19
<user> So after doing some research a page called OpDeathEaters and youranoncentral are spreading false info people just believe it because there under the name 'anonymous' and think there actually hackers OP shared that Princess Diana was assassinated but that's from a fake news site,offensiveness detection,5,"0,0,0,0,0","Ann229,Ann408,Ann236,Ann158,Ann446",en,0,test,1.0,0.0,BLM
kill coronavirus w kindness <url>,offensiveness detection,5,"0,0,0,0,0","Ann189,Ann771,Ann289,Ann187,Ann66",en,0,test,1.0,0.0,Covid-19
<user> <user> <user> <user> <user> Just say you’re racist and go you literally have nothing more to say just over and over,offensiveness detection,5,"1,1,0,0,0","Ann571,Ann71,Ann789,Ann492,Ann416",en,0,test,0.6,0.4,Elections2020
<user> <user> <user> No one and I mean no one wants China to own us!! Biden sold us out! Vote Trump to keep Americans safe. #Trump2020 <url>,offensiveness detection,5,"0,0,0,0,0","Ann789,Ann416,Ann492,Ann71,Ann571",en,0,test,1.0,0.0,Elections2020
Madness rules this world...,offensiveness detection,5,"0,0,0,0,0","Ann433,Ann535,Ann202,Ann236,Ann110",en,0,test,1.0,0.0,BLM
<user> Did he really die of COVID-19. ???,offensiveness detection,5,"1,0,0,0,1","Ann798,Ann772,Ann370,Ann603,Ann12",en,0,test,0.6,0.4,Covid-19
<user> <user> THE SCAMWOW PRESIDENT,offensiveness detection,5,"0,0,1,1,0","Ann445,Ann299,Ann798,Ann115,Ann407",en,0,test,0.6,0.4,Elections2020
"<user> The fact that a lot of supporters for #BlackLivesMatter are from India shows that our society is changing, realising its own mistakes and trying to correct it. So yes your Mockery is definitely not doing anything except denying a change that exists in Indian society.",offensiveness detection,5,"0,0,1,0,0","Ann535,Ann448,Ann511,Ann329,Ann45",en,0,test,0.8,0.2,BLM
Because he has no intelligent thoughts!,offensiveness detection,5,"1,1,1,0,0","Ann404,Ann283,Ann380,Ann515,Ann257",en,1,test,0.4,0.6,Covid-19
Why does the union support tRUMP???,offensiveness detection,5,"0,1,0,0,0","Ann631,Ann359,Ann571,Ann771,Ann309",en,0,test,0.8,0.2,Elections2020
<user> <user> No he doesn’t. It’s GOP propaganda. Another reason why we need to vote for <user>,offensiveness detection,5,"0,1,0,0,1","Ann448,Ann60,Ann408,Ann299,Ann798",en,0,test,0.6,0.4,Elections2020
This is why the #BlackLivesMatter movement is so freakin important! This is why the protests will only continue to get stronger. This is why the voices will only get louder. This is why we can’t ever stop fighting for black equality!!!,offensiveness detection,5,"0,0,0,0,0","Ann283,Ann535,Ann448,Ann734,Ann368",en,0,test,1.0,0.0,BLM
"<user> Right, even if you have to fill them out yourself",offensiveness detection,5,"0,0,0,0,0","Ann299,Ann445,Ann387,Ann448,Ann115",en,0,test,1.0,0.0,Elections2020
<user> <user> Truth from Trump? Hahahaha. Man the Republicans are getting so stupid.,offensiveness detection,5,"1,0,0,0,1","Ann485,Ann222,Ann660,Ann685,Ann202",en,0,test,0.6,0.4,Elections2020
Thousands in Australia rally against racism and killing of George Floyd <url>,offensiveness detection,5,"0,0,0,0,0","Ann155,Ann111,Ann535,Ann158,Ann329",en,0,test,1.0,0.0,BLM
They are so dirty!!,offensiveness detection,5,"1,0,0,0,0","Ann492,Ann571,Ann71,Ann206,Ann631",en,0,test,0.8,0.2,Elections2020
<user> You’re joking right shuffles; covid cases are up as well as covid related deaths you imbecile or do you not recognize the 124k deaths because they make you look bad,offensiveness detection,5,"0,0,1,1,1","Ann729,Ann525,Ann282,Ann408,Ann798",en,1,test,0.4,0.6,Covid-19
<user> told the Proud Boys to stand by then tells his supports to go into the polls and watch.  Sounds like a call for intimidation and terrorism. If you are still undecided you are a racist.  If your are undecided and say but <user> &amp; <user> you're racist.,offensiveness detection,5,"1,1,1,1,1","Ann40,Ann571,Ann771,Ann363,Ann252",en,1,test,0.0,1.0,Elections2020
"I am not black but I see you, I am not black but I hear you, I am not black but i mourn with you, I am not black but I will fight for you! #BlackLivesMatter <url>",offensiveness detection,5,"0,0,0,0,0","Ann758,Ann367,Ann535,Ann734,Ann462",en,0,test,1.0,0.0,BLM
😂😂😂😂😂Golden,offensiveness detection,5,"0,0,0,0,0","Ann670,Ann771,Ann206,Ann408,Ann257",en,0,test,1.0,0.0,Covid-19
STUPIDITY abounds in Mainstream Media!,offensiveness detection,5,"0,0,0,0,0","Ann603,Ann122,Ann660,Ann408,Ann707",en,0,test,1.0,0.0,BLM
<user> <user> Our Vice Bobblehead and Criminal GOP,offensiveness detection,5,"1,1,0,1,1","Ann626,Ann85,Ann789,Ann283,Ann416",en,1,test,0.2,0.8,Elections2020
"Consider how long and what it took—including video of the last 8 minutes and 46 seconds of #GeorgeFloyd’s life and weeks of national and international protest—just to get the #NFL to simply admit: ""We were wrong."" #NFLapology #blacklivesmatter #takeaknee #ColinKaepernick",offensiveness detection,5,"0,0,0,0,0","Ann303,Ann535,Ann426,Ann21,Ann229",en,0,test,1.0,0.0,BLM
The Trump administration is delusional,offensiveness detection,5,"1,0,0,0,0","Ann408,Ann189,Ann12,Ann499,Ann594",en,0,test,0.8,0.2,Covid-19
"Oh thank you for Recognizing <user> Mr Prez <user> Whenever you ask to Show the Crowd they always do so! They’re awesome, very Friendly &amp; they Respect &amp; Luv you too, Like All us Patriots! At times they have <user>  A Champion for the Unborn Children! #MAGA",offensiveness detection,5,"1,0,0,0,0","Ann408,Ann236,Ann2,Ann538,Ann638",en,0,test,0.8,0.2,Elections2020
remember when #BlackLivesMatter did this? <user>,offensiveness detection,5,"0,0,0,0,0","Ann48,Ann535,Ann9,Ann170,Ann408",en,0,test,1.0,0.0,BLM
"For general information about the #coronavirus, we recommend checking out <user> <user> <user> &amp; <user> Who do you go to?",offensiveness detection,5,"0,0,0,0,0","Ann283,Ann206,Ann189,Ann729,Ann772",en,0,test,1.0,0.0,Covid-19
<user> why are u even eating that do u want the coronavirus 🤢🥴🥴🥴🥴🥴,offensiveness detection,5,"0,0,0,0,1","Ann729,Ann150,Ann408,Ann98,Ann772",en,0,test,0.8,0.2,Covid-19
Who has advised the Gov that federal aid is tied to not wearing masks?   Mnuchin? pence?  That’s deliberately endangering people,offensiveness detection,5,"0,0,0,0,0","Ann448,Ann106,Ann772,Ann189,Ann408",en,0,test,1.0,0.0,Covid-19
7 SIGMA Simulation Systems.. 7S.. built these CPR dummies..Building is now burned down in Minneapolis..#GeorgeFloyd #GeorgeFloydHoax,offensiveness detection,5,"0,1,0,1,1","Ann228,Ann329,Ann535,Ann229,Ann408",en,1,test,0.4,0.6,BLM
#India and #Colombia are getting ridiculous.  #coronavirus #COVID19 <user> <user> <user> <url>,offensiveness detection,5,"0,0,0,0,0","Ann448,Ann189,Ann257,Ann499,Ann66",en,0,test,1.0,0.0,Covid-19
covid has turned me into a little snitch but i only snitch on the snitches,offensiveness detection,5,"0,0,0,0,0","Ann729,Ann594,Ann206,Ann772,Ann189",en,0,test,1.0,0.0,Covid-19
"Dear Mrs. Biden, stop abusing your husband to death...",offensiveness detection,5,"1,0,1,0,1","Ann571,Ann309,Ann660,Ann685,Ann408",en,1,test,0.4,0.6,Elections2020
"Yep. And the cops are *PISSED*, too. 👍",offensiveness detection,5,"1,0,0,1,0","Ann35,Ann480,Ann452,Ann450,Ann535",en,0,test,0.6,0.4,BLM
"YES, but we can't support looters who are on the streets!",offensiveness detection,5,"0,0,0,0,0","Ann813,Ann269,Ann703,Ann426,Ann329",en,0,test,1.0,0.0,BLM
<user> The GOP Chairwoman  doesn't know who the current president is? I'm going to blame Ronna McDaniel for the Covid crisis. Sounds like she's dumb enough to believe that.,offensiveness detection,5,"0,0,1,1,1","Ann21,Ann729,Ann515,Ann772,Ann327",en,1,test,0.4,0.6,Covid-19
Trump on Covid death toll: 'It is what it is'   ⁦ <user> <url>,offensiveness detection,5,"0,0,0,0,0","Ann448,Ann283,Ann189,Ann252,Ann446",en,0,test,1.0,0.0,Covid-19
<user> <user> Trump is Destroying America ....in the midst of the COVID19!...at that 💯💯💯💯💯💯💯💯💯💯💯,offensiveness detection,5,"0,0,0,0,0","Ann327,Ann643,Ann729,Ann448,Ann206",en,0,test,1.0,0.0,Covid-19
"NO JUSTICE, NO PEACE #RAISETHEDEGREE  #BLACK_LIVES_MATTER   <url>",offensiveness detection,5,"0,0,0,0,0","Ann283,Ann480,Ann535,Ann383,Ann329",en,0,test,1.0,0.0,BLM
<user> Five democratic governors killed more people from covid than almost everyone else combined!,offensiveness detection,5,"0,0,0,0,0","Ann206,Ann82,Ann796,Ann563,Ann252",en,0,test,1.0,0.0,Covid-19
<user> Here's another thing ya just can't make up.  Your 50 year old son smoking crack and abusing children on video.  And yet here we are,offensiveness detection,5,"1,1,1,1,1","Ann71,Ann446,Ann414,Ann626,Ann85",en,1,test,0.0,1.0,Elections2020
<user> <user> <user> <user> Trump has dropped more bombs in three years than Obama did in eight.,offensiveness detection,5,"1,0,0,0,0","Ann359,Ann571,Ann771,Ann647,Ann660",en,0,test,0.8,0.2,Elections2020
Two viruses. But white blood cells can’t fight off white supremacy.,offensiveness detection,5,"0,0,0,0,0","Ann158,Ann813,Ann229,Ann535,Ann236",en,0,test,1.0,0.0,BLM
Smash mouth!,offensiveness detection,5,"0,0,0,0,0","Ann446,Ann535,Ann626,Ann645,Ann283",en,0,test,1.0,0.0,Elections2020
Wow. This is real?,offensiveness detection,5,"0,0,0,0,0","Ann359,Ann571,Ann771,Ann603,Ann660",en,0,test,1.0,0.0,Elections2020
<user> <user> My hand is raised. Trump is the worst President this country has had to suffer through. <url>,offensiveness detection,5,"0,1,1,0,0","Ann660,Ann685,Ann448,Ann408,Ann115",en,0,test,0.6,0.4,Elections2020
<user> <user> <user> Covid 19-poll? You’re irrelevant now. Shut up,offensiveness detection,5,"1,1,0,0,0","Ann408,Ann206,Ann189,Ann620,Ann563",en,0,test,0.6,0.4,Covid-19
I know it ain’t shit but anything I can do to help #BlackLivesMatter 🤎 <url>,offensiveness detection,5,"1,0,1,0,1","Ann132,Ann281,Ann229,Ann236,Ann408",en,1,test,0.4,0.6,BLM
This is disgusting 😡Just like his dad!,offensiveness detection,5,"1,0,0,0,1","Ann206,Ann189,Ann729,Ann327,Ann643",en,0,test,0.6,0.4,Covid-19
