instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community,text_with_domain,predicted_label,true_label,cross_entropy
2387,"So to start the day Minneapolis is disbanding the police and in nc whites were washing blacks feet begging for forgiveness, insanity on both counts",offensiveness detection,5,en,0,test,0.6,0.4,BLM,1,423,"so to start the day minneapolis is disbanding the police and in nc whites were washing blacks feet begging for forgiveness, insanity on both counts",blm,0,"blm so to start the day minneapolis is disbanding the police and in nc whites were washing blacks feet begging for forgiveness, insanity on both counts",0,1,1.3326241970062256
2462,November 4th or as soon as the election is called for <user> <user>  The obese piece of orange TRASH will TWEET ALL CLASSIFIED INFORMATION HE HAS &amp; release certain individuals to spite certain groups or ppl. #VOTE #VoteBidenHarrisToSaveAmerica #TurnTexasBlue,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,770,november 4th or as soon as the election is called for the obese piece of orange trash will tweet all classified information he has & release certain individuals to spite certain groups or people. #vote #votebidenharristosaveamerica #turntexasblue,elections2020,0,elections2020 november 4th or as soon as the election is called for the obese piece of orange trash will tweet all classified information he has & release certain individuals to spite certain groups or people. #vote #votebidenharristosaveamerica #turntexasblue,0,1,0.7675880789756775
2462,November 4th or as soon as the election is called for <user> <user>  The obese piece of orange TRASH will TWEET ALL CLASSIFIED INFORMATION HE HAS &amp; release certain individuals to spite certain groups or ppl. #VOTE #VoteBidenHarrisToSaveAmerica #TurnTexasBlue,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,631,november 4th or as soon as the election is called for the obese piece of orange trash will tweet all classified information he has & release certain individuals to spite certain groups or people. #vote #votebidenharristosaveamerica #turntexasblue,elections2020,0,elections2020 november 4th or as soon as the election is called for the obese piece of orange trash will tweet all classified information he has & release certain individuals to spite certain groups or people. #vote #votebidenharristosaveamerica #turntexasblue,0,1,0.7675880789756775
2853,<user> <user> <user> <user> Yes George but this narcissist is too stupid for the laughter to make its impact and most of the time HE <user> DOESN'T KNOW IF PEOPLE ARE LAUGHING WITH HIM OR LAUGHING AT HIM. It goes over his wig.,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,631,yes george but this narcissist is too stupid for the laughter to make its impact and most of the time he does not know if people are laughing with him or laughing at him. it goes over his wig.,elections2020,0,elections2020 yes george but this narcissist is too stupid for the laughter to make its impact and most of the time he does not know if people are laughing with him or laughing at him. it goes over his wig.,0,1,1.1232105493545532
2943,"<user> Umm...  a few people isn't a 'Texas-sized' welcome. Democrats hated your guts in the primary.... apparently, they still do",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,683,"umm... a few people is not a 'texas-sized' welcome. democrats hated your guts in the primary.... apparently, they still do",elections2020,0,"elections2020 umm... a few people is not a 'texas-sized' welcome. democrats hated your guts in the primary.... apparently, they still do",0,1,1.4720474481582642
3053,<user> you’re a bold faced liar. You will be uncovered.,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,683,you are a bold faced liar. you will be uncovered.,elections2020,0,elections2020 you are a bold faced liar. you will be uncovered.,0,1,1.9523825645446777
3075,Can someone please explain to me why they haven’t arrested that murderous cop who killed George Floyd yet? Why is that SOB still a free man?,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,5,can someone please explain to me why they have not arrested that murderous cop who killed george floyd yet? why is that sob still a free man?,blm,0,blm can someone please explain to me why they have not arrested that murderous cop who killed george floyd yet? why is that sob still a free man?,0,1,2.0755748748779297
3075,Can someone please explain to me why they haven’t arrested that murderous cop who killed George Floyd yet? Why is that SOB still a free man?,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,608,can someone please explain to me why they have not arrested that murderous cop who killed george floyd yet? why is that sob still a free man?,blm,0,blm can someone please explain to me why they have not arrested that murderous cop who killed george floyd yet? why is that sob still a free man?,0,1,2.0755748748779297
3110,"I feel insulted by these ""white leftists"" saying #BlackLivesMatter when they are shaming people who don’t want to be complicit in this false democracy. White people went to war to protect slavery, but they can’t go to war to protect black lives. History has shown us everytime.",offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,274,"i feel insulted by these ""white leftists"" saying #blacklivesmatter when they are shaming people who do not want to be complicit in this false democracy. white people went to war to protect slavery, but they cannot go to war to protect black lives. history has shown us everytime.",blm,0,"blm i feel insulted by these ""white leftists"" saying #blacklivesmatter when they are shaming people who do not want to be complicit in this false democracy. white people went to war to protect slavery, but they cannot go to war to protect black lives. history has shown us everytime.",0,1,1.165488600730896
3110,"I feel insulted by these ""white leftists"" saying #BlackLivesMatter when they are shaming people who don’t want to be complicit in this false democracy. White people went to war to protect slavery, but they can’t go to war to protect black lives. History has shown us everytime.",offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,701,"i feel insulted by these ""white leftists"" saying #blacklivesmatter when they are shaming people who do not want to be complicit in this false democracy. white people went to war to protect slavery, but they cannot go to war to protect black lives. history has shown us everytime.",blm,0,"blm i feel insulted by these ""white leftists"" saying #blacklivesmatter when they are shaming people who do not want to be complicit in this false democracy. white people went to war to protect slavery, but they cannot go to war to protect black lives. history has shown us everytime.",0,1,1.165488600730896
3125,"<user> This guys a hero. Yet the BLM choose George Floyd, a THUG, who held a hand gun to the belly of a pregnant black female. That tells you something. IMO",offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,454,"this guys a hero. yet the blm choose george floyd, a thug, who held a hand gun to the belly of a pregnant black female. that tells you something. i am going to",blm,0,"blm this guys a hero. yet the blm choose george floyd, a thug, who held a hand gun to the belly of a pregnant black female. that tells you something. i am going to",0,1,1.5683034658432007
3125,"<user> This guys a hero. Yet the BLM choose George Floyd, a THUG, who held a hand gun to the belly of a pregnant black female. That tells you something. IMO",offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,800,"this guys a hero. yet the blm choose george floyd, a thug, who held a hand gun to the belly of a pregnant black female. that tells you something. i am going to",blm,0,"blm this guys a hero. yet the blm choose george floyd, a thug, who held a hand gun to the belly of a pregnant black female. that tells you something. i am going to",0,1,1.5683034658432007
3128,<user> Didn't you call the people protesting peacefully by taking the to the knee sons of b*tches?  Now you are pretending to give a fig about George Floyd.,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,0,306,did not you call the people protesting peacefully by taking the to the knee sons of b*tches? now you are pretending to give a fig about george floyd.,blm,0,blm did not you call the people protesting peacefully by taking the to the knee sons of b*tches? now you are pretending to give a fig about george floyd.,1,0,1.327507734298706
3128,<user> Didn't you call the people protesting peacefully by taking the to the knee sons of b*tches?  Now you are pretending to give a fig about George Floyd.,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,0,474,did not you call the people protesting peacefully by taking the to the knee sons of b*tches? now you are pretending to give a fig about george floyd.,blm,0,blm did not you call the people protesting peacefully by taking the to the knee sons of b*tches? now you are pretending to give a fig about george floyd.,1,0,1.327507734298706
3133,#BlackLivesMatter is about as big a scam as the #CovidHoax.,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,608,#blacklivesmatter is about as big a scam as the #covidhoax.,blm,0,blm #blacklivesmatter is about as big a scam as the #covidhoax.,0,1,2.4206130504608154
3135,"<user> !!!!! they keepin anonymous for a reason, mf coward",offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,566,"!!!!! they keepin anonymous for a reason, mf coward",blm,0,"blm !!!!! they keepin anonymous for a reason, mf coward",0,1,1.2002629041671753
3135,"<user> !!!!! they keepin anonymous for a reason, mf coward",offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,586,"!!!!! they keepin anonymous for a reason, mf coward",blm,0,"blm !!!!! they keepin anonymous for a reason, mf coward",0,1,1.2002629041671753
3141,"As if you need more proof how disgusting, racist and insensitive toxic little shits BTS Army fans or stans are towards George Floyd. Their ""idols"" are not teaching them shit <url>",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,0,443,"as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",blm,0,"blm as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",1,0,1.653212070465088
3141,"As if you need more proof how disgusting, racist and insensitive toxic little shits BTS Army fans or stans are towards George Floyd. Their ""idols"" are not teaching them shit <url>",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,0,338,"as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",blm,0,"blm as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",1,0,1.653212070465088
3141,"As if you need more proof how disgusting, racist and insensitive toxic little shits BTS Army fans or stans are towards George Floyd. Their ""idols"" are not teaching them shit <url>",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,0,708,"as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",blm,0,"blm as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",1,0,1.653212070465088
3141,"As if you need more proof how disgusting, racist and insensitive toxic little shits BTS Army fans or stans are towards George Floyd. Their ""idols"" are not teaching them shit <url>",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,0,661,"as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",blm,0,"blm as if you need more proof how disgusting, racist and insensitive toxic little shits bts army fans or stans are towards george floyd. their ""idols"" are not teaching them shit",1,0,1.653212070465088
3145,They killed that man for being homeless. They had the numbers. They had the control. They could have de-escalated the situation. They chose to murder him. For being poor and homeless.,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,225,they killed that man for being homeless. they had the numbers. they had the control. they could have de-escalated the situation. they chose to murder him. for being poor and homeless.,blm,0,blm they killed that man for being homeless. they had the numbers. they had the control. they could have de-escalated the situation. they chose to murder him. for being poor and homeless.,0,1,1.818626046180725
3145,They killed that man for being homeless. They had the numbers. They had the control. They could have de-escalated the situation. They chose to murder him. For being poor and homeless.,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,512,they killed that man for being homeless. they had the numbers. they had the control. they could have de-escalated the situation. they chose to murder him. for being poor and homeless.,blm,0,blm they killed that man for being homeless. they had the numbers. they had the control. they could have de-escalated the situation. they chose to murder him. for being poor and homeless.,0,1,1.818626046180725
3174,"<user> <user> <user> <user> George Floyd never complied, even in handcuffs he was still resisting.",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,624,"george floyd never complied, even in handcuffs he was still resisting.",blm,0,"blm george floyd never complied, even in handcuffs he was still resisting.",0,1,2.768270254135132
3198,"Cops on the ground are not making decisions by themselves, they're been ordered",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,624,"cops on the ground are not making decisions by themselves, they are been ordered",blm,0,"blm cops on the ground are not making decisions by themselves, they are been ordered",0,1,2.0414958000183105
3253,the murder of george floyd was intentional. the cop was his coworker for years. this is sick im sick all cops are bastards,offensiveness detection,5,en,1,dev,0.2,0.8,BLM,1,364,the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,blm,0,blm the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,0,1,1.0485187768936157
3253,the murder of george floyd was intentional. the cop was his coworker for years. this is sick im sick all cops are bastards,offensiveness detection,5,en,1,dev,0.2,0.8,BLM,1,247,the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,blm,0,blm the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,0,1,1.0485187768936157
3253,the murder of george floyd was intentional. the cop was his coworker for years. this is sick im sick all cops are bastards,offensiveness detection,5,en,1,dev,0.2,0.8,BLM,1,428,the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,blm,0,blm the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,0,1,1.0485187768936157
3285,Fascist brown shirts,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,0,230,fascist brown shirts,blm,0,blm fascist brown shirts,1,0,0.9151917695999146
3285,Fascist brown shirts,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,0,419,fascist brown shirts,blm,0,blm fascist brown shirts,1,0,0.9151917695999146
3325,Alright this has NOTHING to do with George Floyd y’all are just fuckin ignorant af !!! <url>,offensiveness detection,5,en,1,dev,0.2,0.8,BLM,0,29,alright this has nothing to do with george floyd you all are just fuckin ignorant af !!!,blm,0,blm alright this has nothing to do with george floyd you all are just fuckin ignorant af !!!,1,0,1.8571404218673706
3357,you mean white people,offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,778,you mean white people,blm,0,blm you mean white people,0,1,1.114355206489563
3360,"<user> <user> <user> <user> says he loves kids, this must be a lie ?. Denial ain't an option when it comes to kids and racism too.",offensiveness detection,5,en,0,dev,0.8,0.2,Elections2020,1,513,"says he loves kids, this must be a lie ?. denial are not an option when it comes to kids and racism too.",elections2020,0,"elections2020 says he loves kids, this must be a lie ?. denial are not an option when it comes to kids and racism too.",0,1,1.6571611166000366
3382,"<user> You’re so out of your element Pocahantas! This is why you will never be President or even VP. You’re far too ignorant. This is no longer about George Floyd, this has NOTHING to do with our President. Go to one of these cities and see for yourself. They’re being provoked!",offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,29,"you are so out of your element pocahantas! this is why you will never be president or even vp. you are far too ignorant. this is no longer about george floyd, this has nothing to do with our president. go to one of these cities and see for yourself. they are being provoked!",blm,0,"blm you are so out of your element pocahantas! this is why you will never be president or even vp. you are far too ignorant. this is no longer about george floyd, this has nothing to do with our president. go to one of these cities and see for yourself. they are being provoked!",0,1,1.5886797904968262
3382,"<user> You’re so out of your element Pocahantas! This is why you will never be President or even VP. You’re far too ignorant. This is no longer about George Floyd, this has NOTHING to do with our President. Go to one of these cities and see for yourself. They’re being provoked!",offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,39,"you are so out of your element pocahantas! this is why you will never be president or even vp. you are far too ignorant. this is no longer about george floyd, this has nothing to do with our president. go to one of these cities and see for yourself. they are being provoked!",blm,0,"blm you are so out of your element pocahantas! this is why you will never be president or even vp. you are far too ignorant. this is no longer about george floyd, this has nothing to do with our president. go to one of these cities and see for yourself. they are being provoked!",0,1,1.5886797904968262
3415,Absolutely heartbreaking what happened to Mr Floyd... there is NO ONE who thinks this was ok,offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,624,absolutely heartbreaking what happened to mr floyd... there is no one who thinks this was ok,blm,0,blm absolutely heartbreaking what happened to mr floyd... there is no one who thinks this was ok,0,1,2.7868845462799072
3464,hire an anonymous troll army to discredit the opppositon like a normal person,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,501,hire an anonymous troll army to discredit the opppositon like a normal person,blm,0,blm hire an anonymous troll army to discredit the opppositon like a normal person,0,1,1.311694622039795
3464,hire an anonymous troll army to discredit the opppositon like a normal person,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,1,708,hire an anonymous troll army to discredit the opppositon like a normal person,blm,0,blm hire an anonymous troll army to discredit the opppositon like a normal person,0,1,1.311694622039795
3490,Breaking: fat mongoloid with purple hair cries because she felt justice but I guess #BlackLivesMatter ?,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,305,breaking: fat mongoloid with purple hair cries because she felt justice but i guess #blacklivesmatter ?,blm,0,blm breaking: fat mongoloid with purple hair cries because she felt justice but i guess #blacklivesmatter ?,0,1,1.3283705711364746
3490,Breaking: fat mongoloid with purple hair cries because she felt justice but I guess #BlackLivesMatter ?,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,513,breaking: fat mongoloid with purple hair cries because she felt justice but i guess #blacklivesmatter ?,blm,0,blm breaking: fat mongoloid with purple hair cries because she felt justice but i guess #blacklivesmatter ?,0,1,1.3283705711364746
3509,HE HAD A BLACK GIRLFRIEND!!!! WAKE. UP. PEOPLE!! #DonaldTrump #anonymous #redpill #WWG1WGA #WWG1WGAWORLDWIDE #pizzagate #pedogate #Obamagate #lolitagate #lolitaexpress #blm #blacklivesmatter <url>,offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,77,he had a black girlfriend!!!! wake. up. people!! #donaldtrump #anonymous #redpill #wwg1wga #wwg1wgaworldwide #pizzagate #pedogate #obamagate #lolitagate #lolitaexpress #blm #blacklivesmatter,blm,0,blm he had a black girlfriend!!!! wake. up. people!! #donaldtrump #anonymous #redpill #wwg1wga #wwg1wgaworldwide #pizzagate #pedogate #obamagate #lolitagate #lolitaexpress #blm #blacklivesmatter,0,1,1.4375486373901367
3523,What an absolutely embarrassing excuse of a President and a Man.,offensiveness detection,5,en,1,dev,0.0,1.0,Covid-19,1,582,what an absolutely embarrassing excuse of a president and a man.,covid-19,0,covid-19 what an absolutely embarrassing excuse of a president and a man.,0,1,2.137826442718506
3543,"""<user> <user> Pre-save my new single """"Pop U"""" on Spotify: Pop U Da Nigga You Love 2 Hate💯  #hiphop  #PopU #Kingpin #leader #gang #quarantine  #COVID19  #coronavirus #distancedance  #hoodrich #ghetto #cloutgang   #pimp  #thug #Nigga #Dubstep <url> (powered by <user>",offensiveness detection,5,en,1,dev,0.4,0.6,Covid-19,1,582,""" pre-save my new single """"pop you"""" on spotify: pop you da nigga you love 2 hate:hundred_points: #hiphop #popu #kingpin #leader #gang #quarantine #covid19 #coronavirus #distancedance #hoodrich #ghetto #cloutgang #pimp #thug #nigga #dubstep (powered by",covid-19,0,"covid-19 "" pre-save my new single """"pop you"""" on spotify: pop you da nigga you love 2 hate:hundred_points: #hiphop #popu #kingpin #leader #gang #quarantine #covid19 #coronavirus #distancedance #hoodrich #ghetto #cloutgang #pimp #thug #nigga #dubstep (powered by",0,1,0.7911137342453003
3559,"<user> <user> <user> Yeah sure. #BlackLivesMatter save the UNBORN !!!!!! These ""medical professionals"" are evil.",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,364,"yeah sure. #blacklivesmatter save the unborn !!!!!! these ""medical professionals"" are evil.",blm,0,"blm yeah sure. #blacklivesmatter save the unborn !!!!!! these ""medical professionals"" are evil.",0,1,0.8322571516036987
3582,"The police are looking for #LenaHernandez, the racist elderly woman who harasses people who she perceives as having no place in America. They can’t find her based on her  license plate or she’s never home. Call 911 if you see her. 😂  #BlackLivesMatter <url>",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,577,"the police are looking for #lenahernandez, the racist elderly woman who harasses people who she perceives as having no place in america. they cannot find her based on her license plate or she is never home. call 911 if you see her. :face_with_tears_of_joy: #blacklivesmatter",blm,0,"blm the police are looking for #lenahernandez, the racist elderly woman who harasses people who she perceives as having no place in america. they cannot find her based on her license plate or she is never home. call 911 if you see her. :face_with_tears_of_joy: #blacklivesmatter",0,1,2.2433764934539795
3587,<user> George Soros needs to come collect his thugs and allow the country to respectfully mourn the unwarranted death of George Floyd at the hands of a disgustingly corrupt police officer.  He did not act alone and all those with him need to be charged with murder also!,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,5,george soros needs to come collect his thugs and allow the country to respectfully mourn the unwarranted death of george floyd at the hands of a disgustingly corrupt police officer. he did not act alone and all those with him need to be charged with murder also!,blm,0,blm george soros needs to come collect his thugs and allow the country to respectfully mourn the unwarranted death of george floyd at the hands of a disgustingly corrupt police officer. he did not act alone and all those with him need to be charged with murder also!,0,1,1.621970772743225
3587,<user> George Soros needs to come collect his thugs and allow the country to respectfully mourn the unwarranted death of George Floyd at the hands of a disgustingly corrupt police officer.  He did not act alone and all those with him need to be charged with murder also!,offensiveness detection,5,en,1,dev,0.4,0.6,BLM,1,274,george soros needs to come collect his thugs and allow the country to respectfully mourn the unwarranted death of george floyd at the hands of a disgustingly corrupt police officer. he did not act alone and all those with him need to be charged with murder also!,blm,0,blm george soros needs to come collect his thugs and allow the country to respectfully mourn the unwarranted death of george floyd at the hands of a disgustingly corrupt police officer. he did not act alone and all those with him need to be charged with murder also!,0,1,1.621970772743225
3611,"<user> <user> <user> <user> 1/This chaos isn't about George Floyd. It's about destroying our country from within! We need to get off this racial crap! Race doesn't come before God &amp; country!  These ""tin gods"" have been using race play us like fine violins--so we'll vote away our country. Don't buy into it.",offensiveness detection,5,en,0,dev,0.8,0.2,BLM,1,428,"1/this chaos is not about george floyd. it is about destroying our country from within! we need to get off this racial crap! race does not come before god & country! these ""tin gods"" have been using race play us like fine violins--so we will vote away our country. do not buy into it.",blm,0,"blm 1/this chaos is not about george floyd. it is about destroying our country from within! we need to get off this racial crap! race does not come before god & country! these ""tin gods"" have been using race play us like fine violins--so we will vote away our country. do not buy into it.",0,1,0.8545569181442261
3613,YOU SET THIS UP AND YOU DAMN WELL KNOW IT! Trump blames the 'radical left and ANTIFA' for George Floyd protests <url> via <user>,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,0,551,you set this up and you damn well know it! trump blames the 'radical left and antifa' for george floyd protests via,blm,0,blm you set this up and you damn well know it! trump blames the 'radical left and antifa' for george floyd protests via,1,0,0.7280861139297485
3613,YOU SET THIS UP AND YOU DAMN WELL KNOW IT! Trump blames the 'radical left and ANTIFA' for George Floyd protests <url> via <user>,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,0,29,you set this up and you damn well know it! trump blames the 'radical left and antifa' for george floyd protests via,blm,0,blm you set this up and you damn well know it! trump blames the 'radical left and antifa' for george floyd protests via,1,0,0.7280861139297485
3613,YOU SET THIS UP AND YOU DAMN WELL KNOW IT! Trump blames the 'radical left and ANTIFA' for George Floyd protests <url> via <user>,offensiveness detection,5,en,0,dev,0.6,0.4,BLM,0,512,you set this up and you damn well know it! trump blames the 'radical left and antifa' for george floyd protests via,blm,0,blm you set this up and you damn well know it! trump blames the 'radical left and antifa' for george floyd protests via,1,0,0.7280861139297485
3639,<user> It was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to George Floyd.,offensiveness detection,5,en,1,dev,0.0,1.0,BLM,1,423,it was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to george floyd.,blm,0,blm it was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to george floyd.,0,1,1.2504427433013916
3639,<user> It was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to George Floyd.,offensiveness detection,5,en,1,dev,0.0,1.0,BLM,1,598,it was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to george floyd.,blm,0,blm it was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to george floyd.,0,1,1.2504427433013916
3639,<user> It was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to George Floyd.,offensiveness detection,5,en,1,dev,0.0,1.0,BLM,1,632,it was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to george floyd.,blm,0,blm it was also a sex crime ... cop had his hand in his pocket jacking himself off when he was cutting off the air to george floyd.,0,1,1.2504427433013916
