instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community
150,<user> <user> <user> And then continue legislative constipation because the senate is locked by traitors to the people of this country. There is almost half the country who would happily leave their neighbors high and dry without batting an eye.,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,60,and then continue legislative constipation because the senate is locked by traitors to the people of this country. there is almost half the country who would happily leave their neighbors high and dry without batting an eye.,elections2020,3
153,"<user> <user> <user> <user> <user> I'd say the same to you...You got duped by a Manic in the WH. I can't deal with the lies &amp; misinformation. Covid lies and 200,00 ppl have died. He's not a President.Hes a bad Business man. Who can't handle crisis that don't affect him personally. He doesn't care if his base dies.",offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,0,546,"i would say the same to you...you got duped by a manic in the wh. i cannot deal with the lies & misinformation. covid lies and 200,00 people have died. he is not a president.hes a bad business man. who cannot handle crisis that do not affect him personally. he does not care if his base dies.",covid-19,3
155,When we opened back up just a little the #’s spiked. That should tell you something.  Stay home. Stop spreading this. You are putting me and people like me at a much increased risk. We are not expendable.   #COVIDIOTS  #TrumpFailedAmerica  #BidenHarris2020ToSaveAmerica,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,0,82,when we opened back up just a little the #’s spiked. that should tell you something. stay home. stop spreading this. you are putting me and people like me at a much increased risk. we are not expendable. #covidiots #trumpfailedamerica #bidenharris2020tosaveamerica,covid-19,3
158,<user> Is that all you have? The racist label?,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,60,is that all you have? the racist label?,elections2020,3
161,"Crap! Stop the BS. He was paid large sums of money &amp; used this as a springboard to later fame &amp; more money which is what he wanted.  I watched several B&amp;W Minstrel shows with my parents &amp; neither the show nor my parents were racist.   Fact is, it was simply an early form of BGT.",offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,546,"crap! stop the bs. he was paid large sums of money & used this as a springboard to later fame & more money which is what he wanted. i watched several b&w minstrel shows with my parents & neither the show nor my parents were racist. fact is, it was simply an early form of bgt.",blm,3
162,Look at all those people for Trump,offensiveness detection,5,en,0,test,1.0,0.0,Elections2020,0,21,look at all those people for trump,elections2020,3
166,This is happening in New York city #Cuomo  #Cuomohatesjews <url>,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,0,546,this is happening in new york city #cuomo #cuomohatesjews,covid-19,3
169,😍THIS IS SO FUNNY!  😂🤣WATCH <user> MAKE A ASS/DONKEY OUT OF HIMSELF <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,64,:smiling_face_with_heart-eyes:this is so funny! :face_with_tears_of_joy::rolling_on_the_floor_laughing:watch make a ass/donkey out of himself,elections2020,3
170,<user> Sure Camel. When he imposed the travel bans the demoslobs called him xenophobic,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,60,sure camel. when he imposed the travel bans the demoslobs called him xenophobic,elections2020,3
180,"<user> Joe Biden &amp; the China Communist P,which organised in a strategy to control the USA through Dumping &amp; Debt,&amp; attacks us with fentanyl with the Mexican cartels,the major threat to the USA Sign: <url> #MAGA #LaptopFromHell #COVID19 #China <user> <url>",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,21,"joe biden & the china communist p,which organised in a strategy to control the usa through dumping & debt,& attacks us with fentanyl with the mexican cartels,the major threat to the usa sign: #maga #laptopfromhell #covid19 #china",elections2020,3
183,L.A. today #BlackLivesMatter  video: <url> <url>,offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,784,l.a. today #blacklivesmatter video:,blm,3
184,"You don't care about American lives. All you CAIR about is furthering your infiltrator's agenda of sowing division, hatred, &amp; anti-Semitism, while cheating, lying, stealing, &amp; spewing hateful rhetoric &amp; propoganda. The American people see right through you, zealot. #OustIlhanOmar",offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,1,515,"you do not care about american lives. all you cair about is furthering your infiltrator's agenda of sowing division, hatred, & anti-semitism, while cheating, lying, stealing, & spewing hateful rhetoric & propoganda. the american people see right through you, zealot. #oustilhanomar",covid-19,3
187,"<user> <user> A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed.  Just in case you're to stupid amd lazy.. Last part read that nice and carefully. Haha liberals.. Village idiots",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,60,"a well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed. just in case you are to stupid amd lazy.. last part read that nice and carefully. haha liberals.. village idiots",elections2020,3
190,sickest ive ever been in early November. literally thought i was gonna die.,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,sickest i have ever been in early november. literally thought i was going to die.,covid-19,3
192,<user> and <user> - I can not and will not vote for someone who doesn’t fully support our law enforcement officers. You can make any excuse you want but the vast majority of the people want law and order now!,offensiveness detection,5,en,0,test,1.0,0.0,Elections2020,0,64,and - i can not and will not vote for someone who does not fully support our law enforcement officers. you can make any excuse you want but the vast majority of the people want law and order now!,elections2020,3
200,<user> <user> How about those incompetent democrat governors forcing COVID-19 patients into nursing homes <url>,offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,0,515,how about those incompetent democrat governors forcing covid-19 patients into nursing homes,covid-19,3
217,"""Struggles with message"" is a strange way to say ""Explodes in Rabid Racism"".",offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,"""struggles with message"" is a strange way to say ""explodes in rabid racism"".",blm,3
219,"<user> That’s because of the four-year temper tantrum the Left threw the night Trump won the election. You’ve wasted so much time on defaming him instead of informing us, so now we see you for what you are. This will all blow up in your face, mark me.",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,546,"that is because of the four-year temper tantrum the left threw the night trump won the election. you have wasted so much time on defaming him instead of informing us, so now we see you for what you are. this will all blow up in your face, mark me.",elections2020,3
221,<user> You misspelled anti murdering George Floyd,offensiveness detection,5,en,0,test,0.8,0.2,BLM,0,633,you misspelled anti murdering george floyd,blm,3
224,This is bad - really bad.,offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,784,this is bad - really bad.,blm,3
225,"Bruce .<user> your ad insults the intelligence of American workers. They’re not stupid. They know if Biden wins, China wins. <url>",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,"bruce . your ad insults the intelligence of american workers. they are not stupid. they know if biden wins, china wins.",elections2020,3
225,"Bruce .<user> your ad insults the intelligence of American workers. They’re not stupid. They know if Biden wins, China wins. <url>",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,0,21,"bruce . your ad insults the intelligence of american workers. they are not stupid. they know if biden wins, china wins.",elections2020,3
240,Meat eaters r mad in the replies bc they know they're doing the wrong thing and don't have the willpower 2 do the right thing . I mean she spit facts,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,1,515,meat eaters r mad in the replies because they know they are doing the wrong thing and do not have the willpower 2 do the right thing . i mean she spit facts,covid-19,3
244,<user> <user> <user> Why is <user> an open Nazi supporter?,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,60,why is an open nazi supporter?,elections2020,3
257,"<user> <user> <user> Thank you for saying this. When I was growing up and tried saying my name, I would get laughed at and told ""did you forget your name?"" Which to me, meant that the person thought I was stupid.",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,64,"thank you for saying this. when i was growing up and tried saying my name, i would get laughed at and told ""did you forget your name?"" which to me, meant that the person thought i was stupid.",elections2020,3
259,I guess some get a desire to protest sooner than others. Covid has prevented me from going. I don't want to be another number. But I am getting so close to throw myself out there. This is a great city and <user> is destroying it. We have to fight dictatorship.,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,i guess some get a desire to protest sooner than others. covid has prevented me from going. i do not want to be another number. but i am getting so close to throw myself out there. this is a great city and is destroying it. we have to fight dictatorship.,covid-19,3
263,"<user> <user> <user> <user> Who says I am not, but they're  not caused by a virus spreading like wildfire are they?  Trump has surrendered to COVID. The deadliest and most inept POTUS in history.  Hell of a time to go GOP. You're a liar and a fraud.",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,0,515,"who says i am not, but they are not caused by a virus spreading like wildfire are they? trump has surrendered to covid. the deadliest and most inept potus in history. hell of a time to go gop. you are a liar and a fraud.",covid-19,3
269,"<user> <user> Easy answer to silence idiots, make mask a law.  Wear them in public places thats it. You dont need em in your house, when you sleep, while your driving. Just in public places. Im certain no one liked seatbelts but hows that going?",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,"easy answer to silence idiots, make mask a law. wear them in public places that is it. you do not need them in your house, when you sleep, while your driving. just in public places. i am certain no one liked seatbelts but how is that going?",elections2020,3
273,You’ll never see me doing that!! How will this get rid of racism!! We are all supposedly equal!!  #BlackLivesMatter #AllLivesMatter #AntifaTerrorists #BLACK_LIVES_MATTER,offensiveness detection,5,en,0,test,0.8,0.2,BLM,0,633,you will never see me doing that!! how will this get rid of racism!! we are all supposedly equal!! #blacklivesmatter #alllivesmatter #antifaterrorists #black_lives_matter,blm,3
285,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> Why are all the stupid congressmen from KY? Is their lead in their water supply?,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,why are all the stupid congressmen from ky? is their lead in their water supply?,elections2020,3
291,"<user> Trump does the same with hookers, which by his choice is the same way he treats #MAGA. <url>",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,"trump does the same with hookers, which by his choice is the same way he treats #maga.",elections2020,3
300,"It took a week to get sick. How many people did that entire bar infect in that week? How many at her medical office?   Sure, you can say hindsight is a bitch. But, some of those they infected will not be afforded that luxury. Get that through your heads!",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,0,515,"it took a week to get sick. how many people did that entire bar infect in that week? how many at her medical office? sure, you can say hindsight is a bitch. but, some of those they infected will not be afforded that luxury. get that through your heads!",covid-19,3
303,<user> TRUMP 2020!!!🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲,offensiveness detection,5,en,0,test,1.0,0.0,Elections2020,0,272,trump 2020!!!:U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands:,elections2020,3
315,"<user> <user> WERE THESE DIMWITS WATCHING THE SAME DEBATE THE REST OF US WATCHED? JOE'S NAME CALLING AND LYING WERE NOT SOMETHING WOULD CALL ''PRESIDENTIAL'', JUST BEING A SPOILED OLD MAN WITH DEMENTIA!!  VOTE RED 2020",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,272,"were these dimwits watching the same debate the rest of us watched? joe's name calling and lying were not something would call ''presidential'', just being a spoiled old man with dementia!! vote red 2020",elections2020,3
316,<user> We love you. Fuck white racists. Dump Trump.,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,60,we love you. fuck white racists. dump trump.,elections2020,3
317,<user> <user> <user> <user> not acknowledging that #antifa is not an organization is about the same as DT telling them proud boys to stand by. Keep it real. #whiteliberals are the real racist! <url>,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,0,165,not acknowledging that #antifa is not an organization is about the same as dt telling them proud boys to stand by. keep it real. #whiteliberals are the real racist!,elections2020,3
317,<user> <user> <user> <user> not acknowledging that #antifa is not an organization is about the same as DT telling them proud boys to stand by. Keep it real. #whiteliberals are the real racist! <url>,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,64,not acknowledging that #antifa is not an organization is about the same as dt telling them proud boys to stand by. keep it real. #whiteliberals are the real racist!,elections2020,3
323,<user> Please don’t subject yourself or citizens to that moron.  I think we all know enough.  That wasn’t a debate. It is something his simple mind can’t do.,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,0,719,please do not subject yourself or citizens to that moron. i think we all know enough. that was not a debate. it is something his simple mind cannot do.,elections2020,3
336,<user> Fear is all you have...,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,21,fear is all you have...,elections2020,3
337,Even a god can get it😶,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,even a god can get it:face_without_mouth:,covid-19,3
342,<user> <user> Joe calls the military stupid bastards and you have the audacity to say he has empathy. Wow....you’re not too bright or words have no meaning with you.,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,21,joe calls the military stupid bastards and you have the audacity to say he has empathy. wow....you are not too bright or words have no meaning with you.,elections2020,3
346,"<user> <url> I mean, if this being just one potential long term side effect of Covid, does herd immunity seem a good path.. And the fact that the antibodies may not remain after four months... I don't know shit, but I know enough that this path seems nonsensical.",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,1,21,"i mean, if this being just one potential long term side effect of covid, does herd immunity seem a good path.. and the fact that the antibodies may not remain after four months... i do not know shit, but i know enough that this path seems nonsensical.",covid-19,3
346,"<user> <url> I mean, if this being just one potential long term side effect of Covid, does herd immunity seem a good path.. And the fact that the antibodies may not remain after four months... I don't know shit, but I know enough that this path seems nonsensical.",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,0,515,"i mean, if this being just one potential long term side effect of covid, does herd immunity seem a good path.. and the fact that the antibodies may not remain after four months... i do not know shit, but i know enough that this path seems nonsensical.",covid-19,3
347,"<user> Dude had a knife. Divisive, lying, POS.",offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,719,"dude had a knife. divisive, lying, pos.",elections2020,3
349,"<user> In Trumps own words.  The only racist on the stage was you Joe.  Antifa is not an ""idea"" Joe.  <url>",offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,64,"in trumps own words. the only racist on the stage was you joe. antifa is not an ""idea"" joe.",elections2020,3
350,Enough!  #PoliceViolence #PoliceBrutality #FuckPolice #Police #Protest #BlackLivesMatter <url>,offensiveness detection,5,en,1,test,0.2,0.8,BLM,1,21,enough! #policeviolence #policebrutality #fuckpolice #police #protest #blacklivesmatter,blm,3
363,And you thought Nazi Germany was bad.,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,1,515,and you thought nazi germany was bad.,covid-19,3
366,<user> <user> <user> <user> Racist supporting a racist.,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,165,racist supporting a racist.,elections2020,3
366,<user> <user> <user> <user> Racist supporting a racist.,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,64,racist supporting a racist.,elections2020,3
370,"If you've never heard <user> stuff, you MUST. It is an education worth years of life experience &amp; study of books, condensed here in an 8 minute rap. Invaluable.This man knows the score. 💯✊🏻✊🏾✊🏿  <url>  #BLMLondon #BlackLivesMatterUK #BlackLivesMatter",offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,633,"if you have never heard stuff, you must. it is an education worth years of life experience & study of books, condensed here in an 8 minute rap. invaluable.this man knows the score. :hundred_points::raised_fist_light_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_dark_skin_tone: #blmlondon #blacklivesmatteruk #blacklivesmatter",blm,3
375,<user> . <user> thinks you’re too stupid to believe the hard evidence showing years of corruption at YOUR expense. The arrogance is astounding.,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,1,272,. thinks you are too stupid to believe the hard evidence showing years of corruption at your expense. the arrogance is astounding.,elections2020,3
379,"<user> <user> <user> The death rate is &lt;.3%  (Thats a ""less than"" symbol and a point 3 percent) <url>",offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,"the death rate is <.3% (that is a ""less than"" symbol and a point 3 percent)",covid-19,3
380,<user> <user> <user> It is.,offensiveness detection,5,en,0,test,1.0,0.0,Elections2020,0,60,it is.,elections2020,3
382,Are you fucking kidding me IA City PD? 😢 I’m so disappointed 😔 and heartbroken over this-just makes me more determined to protest. Someone let me know the plan for Thursday please #BlackLivesMatter #iowacity #iowacityprotest,offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,633,are you fucking kidding me ia city pd? :crying_face: i am so disappointed :pensive_face: and heartbroken over this-just makes me more determined to protest. someone let me know the plan for thursday please #blacklivesmatter #iowacity #iowacityprotest,blm,3
387,Instead of sweating over a statue or statues and how it didn't offend with 100% PC until 2020. Focus on the damage you and Walz Co. caused by doing nothing except give excuses for the thugs as Minneapolis burned.,offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,64,instead of sweating over a statue or statues and how it did not offend with 100% pc until 2020. focus on the damage you and walz co. caused by doing nothing except give excuses for the thugs as minneapolis burned.,blm,3
393,"Be great if someone like Twitter would make a mass announcement about how foolish we are with the Trump coronavirus, someone with huge credentials or congregation should make a statement about how highly contagious this is, because these motherfuckers just don’t seem to get it.",offensiveness detection,5,en,1,test,0.2,0.8,Covid-19,1,515,"be great if someone like twitter would make a mass announcement about how foolish we are with the trump coronavirus, someone with huge credentials or congregation should make a statement about how highly contagious this is, because these motherfuckers just do not seem to get it.",covid-19,3
409,Everything is upside down in the sh*t stained reality of Trump.,offensiveness detection,5,en,1,test,0.0,1.0,Covid-19,1,515,everything is upside down in the sh*t stained reality of trump.,covid-19,3
410,"<user> <user> <user> <user> <user> Sad, wrong and hateful statement!",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,60,"sad, wrong and hateful statement!",elections2020,3
412,#WheresHunter <user> Your secret deals will be revealed. You will be impeached and the rest of your corrupt family/friends will be locked up.,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,165,#whereshunter your secret deals will be revealed. you will be impeached and the rest of your corrupt family/friends will be locked up.,elections2020,3
412,#WheresHunter <user> Your secret deals will be revealed. You will be impeached and the rest of your corrupt family/friends will be locked up.,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,64,#whereshunter your secret deals will be revealed. you will be impeached and the rest of your corrupt family/friends will be locked up.,elections2020,3
420,<user> You POS crook! <url>,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,60,you pos crook!,elections2020,3
432,STOP THIS INSANITY OF COPS DEADLY ASSAULTS! #ICantBreathe  <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> #totalitariancapitalism ᵗʳᵘᵐᵖ,offensiveness detection,5,en,0,test,0.6,0.4,BLM,0,633,stop this insanity of cops deadly assaults! #icantbreathe #totalitariancapitalism ᵗʳᵘᵐᵖ,blm,3
433,May I introduce the next President of the United States via George Soros. #Election2020 #Elections2020 #ElectionNight #ElectionDay2020  #ElectionResults2020  #Trump2020 #JoeBiden #KamalaHarris  #lickmyass #bnwo2020 #bnwo #bowtome #suckers #ByeDon2020 <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,21,may i introduce the next president of the united states via george soros. #election2020 #elections2020 #electionnight #electionday2020 #electionresults2020 #trump2020 #joebiden #kamalaharris #lickmyass #bnwo2020 #bnwo #bowtome #suckers #byedon2020,elections2020,3
434,I give zero fucks what celebrities are singing a song for <user> <user>,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,64,i give zero fucks what celebrities are singing a song for,elections2020,3
450,"Imagine being a woman and having a ""leader"" say they can grab you by the p***y because of his status, imagine being a latino and that person referring to you a rapist, imagine having a disability and that ""leader"" makes fun of you. This is why we have to #VOTE #VoteHimOut2020",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,60,"imagine being a woman and having a ""leader"" say they can grab you by the p***y because of his status, imagine being a latino and that person referring to you a rapist, imagine having a disability and that ""leader"" makes fun of you. this is why we have to #vote #votehimout2020",elections2020,3
453,"<user> <user> Trump gets free airtime for campaign rallies most days he does those awful ""briefings"". <user> needs to fight for equal time without the shitshow.",offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,60,"trump gets free airtime for campaign rallies most days he does those awful ""briefings"". needs to fight for equal time without the shitshow.",elections2020,3
459,ruining relationships because they care more about buildings than lives &gt;&gt;&gt;&gt;&gt;&gt;&gt; #BlackLivesMatter,offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,64,ruining relationships because they care more about buildings than lives >>>>>>> #blacklivesmatter,blm,3
467,"Btw, to all my black friends, I'm with you. The douchebag who killed George Floyd by having his KNEE on his neck will be brought to justice.✊🏽",offensiveness detection,5,en,1,test,0.4,0.6,BLM,1,64,"by the way, to all my black friends, i am with you. the douchebag who killed george floyd by having his knee on his neck will be brought to justice.:raised_fist_medium_skin_tone:",blm,3
486,This is so damn sad honestly 😤😭,offensiveness detection,5,en,0,test,1.0,0.0,BLM,0,21,this is so damn sad honestly :face_with_steam_from_nose::loudly_crying_face:,blm,3
510,7 U.S. Stocks to Buy on Coronavirus Weakness $AAPL $NKE $AMD ... <url>,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,7 you.s. stocks to buy on coronavirus weakness $aapl $nke $amd ...,covid-19,3
518,<user> And you haven’t denounced BLM or antifa!,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,272,and you have not denounced blm or antifa!,elections2020,3
531,<user> <user> <user> If you know nothing about accounting then shut up.,offensiveness detection,5,en,0,test,1.0,0.0,Elections2020,0,21,if you know nothing about accounting then shut up.,elections2020,3
534,This is just the Navajo Nation....not all Native American tribes throughout the US.  These numbers are horrendous  and it's all on #PresidentTestingIsOverRated  and his racist presidency!   #RacismMustDieForMinoritiesToLiveFree   We must        #OustMrUnstableUnfitAndUnable,offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,1,515,this is just the navajo nation....not all native american tribes throughout the us. these numbers are horrendous and it is all on #presidenttestingisoverrated and his racist presidency! #racismmustdieforminoritiestolivefree we must #oustmrunstableunfitandunable,covid-19,3
535,"""Multiple journals reject major mask study amid hints that it shows masks don't stop COVID <url> via <user> 'Lancet spokeswoman Jessica Kleyn told Just the News that the journal """"does not comment on papers it has not published.' #covidiots""",offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,21,"""multiple journals reject major mask study amid hints that it shows masks do not stop covid via 'lancet spokeswoman jessica kleyn told just the news that the journal """"does not comment on papers it has not published.' #covidiots""",covid-19,3
