instance_id,text,annotation task,number of annotations,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain,offensiveness,user_id,cleaned_text,cleaned_domain,community,text_with_domain,predicted_label,true_label,cross_entropy
1324,"Coronavirus made me cheat on my lash girl, hair girl, and nail girl. I’M SORRY🥺🥺🥺🥺",offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,"coronavirus made me cheat on my lash girl, hair girl, and nail girl. i am sorry:pleading_face::pleading_face::pleading_face::pleading_face:",covid-19,3,"covid-19 coronavirus made me cheat on my lash girl, hair girl, and nail girl. i am sorry:pleading_face::pleading_face::pleading_face::pleading_face:",1,0,0.7287428379058838
1325,I think this is spot on.  Bullies hate to be laughed at. #DumpsterFireDebate,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,60,i think this is spot on. bullies hate to be laughed at. #dumpsterfiredebate,elections2020,3,elections2020 i think this is spot on. bullies hate to be laughed at. #dumpsterfiredebate,0,1,0.7399510741233826
1380,"<user> <user> Hey Juan,  your just downplayed violence in our cities.  The very thing you condemn Trump for doing with Covid. #thefive #hipocracy",offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,0,82,"hey juan, your just downplayed violence in our cities. the very thing you condemn trump for doing with covid. #thefive #hipocracy",covid-19,3,"covid-19 hey juan, your just downplayed violence in our cities. the very thing you condemn trump for doing with covid. #thefive #hipocracy",1,0,0.7018287181854248
1457,"<user> When you go into the voting booth, or sign your name to your absentee ballot, say a name of one of the 240,000 Americans died of Covid-19 whose mouths trump shut forever.  Do what they can no longer do, #VOTE !  #VoteOutTrumpsHate #VoteBidenHarris2020 #BlackLivesMatter #VoteEarly",offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,1,515,"when you go into the voting booth, or sign your name to your absentee ballot, say a name of one of the 240,000 americans died of covid-19 whose mouths trump shut forever. do what they can no longer do, #vote ! #voteouttrumpshate #votebidenharris2020 #blacklivesmatter #voteearly",covid-19,3,"covid-19 when you go into the voting booth, or sign your name to your absentee ballot, say a name of one of the 240,000 americans died of covid-19 whose mouths trump shut forever. do what they can no longer do, #vote ! #voteouttrumpshate #votebidenharris2020 #blacklivesmatter #voteearly",0,1,1.576344609260559
1488,"<user> <user> <user> Really. They call you a journalist. Proud boys leader is half African American. They have a Hawaiian native, Hispanics, asians, and yes even a few caucasians. Antifa are more white supremacists that proud boys. You're fact check is horrible.",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,0,21,"really. they call you a journalist. proud boys leader is half african american. they have a hawaiian native, hispanics, asians, and yes even a few caucasians. antifa are more white supremacists that proud boys. you are fact check is horrible.",elections2020,3,"elections2020 really. they call you a journalist. proud boys leader is half african american. they have a hawaiian native, hispanics, asians, and yes even a few caucasians. antifa are more white supremacists that proud boys. you are fact check is horrible.",1,0,0.9704322814941406
1548,<user> Really #ChinaJoe ?  Has your communist backers pulled the plug on you?  It’s obvious that you are MORE disliked than even corrupt Hillary.  Go back to bed. We’ll let you know when #Trump has been declared RE-elected!  #TRUMP2020ToSaveAmerica <url>,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,64,really #chinajoe ? has your communist backers pulled the plug on you? it is obvious that you are more disliked than even corrupt hillary. go back to bed. we will let you know when #trump has been declared re-elected! #trump2020tosaveamerica,elections2020,3,elections2020 really #chinajoe ? has your communist backers pulled the plug on you? it is obvious that you are more disliked than even corrupt hillary. go back to bed. we will let you know when #trump has been declared re-elected! #trump2020tosaveamerica,0,1,0.736072301864624
1676,<user> As soon as I can. You never know with all the Covid crap how you will be feeling November 3rd.,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,1,515,as soon as i can. you never know with all the covid crap how you will be feeling november 3rd.,covid-19,3,covid-19 as soon as i can. you never know with all the covid crap how you will be feeling november 3rd.,0,1,1.1057531833648682
1712,"<user> you are going to hell, you know that, right?",offensiveness detection,5,en,1,test,0.0,1.0,Covid-19,1,515,"you are going to hell, you know that, right?",covid-19,3,"covid-19 you are going to hell, you know that, right?",0,1,0.712978720664978
1728,"Jimmy Kimmel was talking about ""Lou Dobbs"" as Donald Trump calls his 'sniffer' 'Lou Dobbs'  See by your self! <url>",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,60,"jimmy kimmel was talking about ""lou dobbs"" as donald trump calls his 'sniffer' 'lou dobbs' see by your self!",elections2020,3,"elections2020 jimmy kimmel was talking about ""lou dobbs"" as donald trump calls his 'sniffer' 'lou dobbs' see by your self!",0,1,1.272957682609558
1775,"Oh, .<user> you *really* shouldn’t be talking about other people lying, now should you? .<user> #MAGA",offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,64,"oh, . you *really* should not be talking about other people lying, now should you? . #maga",elections2020,3,"elections2020 oh, . you *really* should not be talking about other people lying, now should you? . #maga",0,1,1.7292461395263672
1798,"#PatRobertson Suggests Same-Sex Marriage, Abortion Among Reasons For #COVID19. Man, I'm glad the Blasphemous Pat doesn't speak for everyone. Or dies he? I guess Pat is talking about the Old Testament God? Not the New Testament God?  <url> via  <user>",offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,1,515,"#patrobertson suggests same-sex marriage, abortion among reasons for #covid19. man, i am glad the blasphemous pat does not speak for everyone. or dies he? i guess pat is talking about the old testament god? not the new testament god? via",covid-19,3,"covid-19 #patrobertson suggests same-sex marriage, abortion among reasons for #covid19. man, i am glad the blasphemous pat does not speak for everyone. or dies he? i guess pat is talking about the old testament god? not the new testament god? via",0,1,1.2031068801879883
1849,It’s because smart covid conscious people voted absentee to get your ass out of office sir 💙,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,0,515,it is because smart covid conscious people voted absentee to get your ass out of office sir :blue_heart:,covid-19,3,covid-19 it is because smart covid conscious people voted absentee to get your ass out of office sir :blue_heart:,1,0,1.6661864519119263
1861,<user> Stretch pants for my Covid butt,offensiveness detection,5,en,0,test,1.0,0.0,Covid-19,0,515,stretch pants for my covid butt,covid-19,3,covid-19 stretch pants for my covid butt,1,0,0.7565051317214966
1990,"Back to name calling? Fauci is an idiot? And the crowd screams for more. I’m tired of the pandemic too, but that means I’ll listen to science. Masks, distancing, opening safely. And NOT listening to Trump. #TrumpsVirus",offensiveness detection,5,en,0,test,0.6,0.4,Covid-19,1,515,"back to name calling? fauci is an idiot? and the crowd screams for more. i am tired of the pandemic too, but that means i will listen to science. masks, distancing, opening safely. and not listening to trump. #trumpsvirus",covid-19,3,"covid-19 back to name calling? fauci is an idiot? and the crowd screams for more. i am tired of the pandemic too, but that means i will listen to science. masks, distancing, opening safely. and not listening to trump. #trumpsvirus",0,1,0.9624736905097961
2016,Sleepy <user> is not only a pedophile also a rapist he is a criminal together with the corrupt communist democrat party and the people in the ills who are making VOTER FRAUD are as garbage as them TIME TO FIGHT BACK HARD💪🇺🇸👊 <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,719,sleepy is not only a pedophile also a rapist he is a criminal together with the corrupt communist democrat party and the people in the ills who are making voter fraud are as garbage as them time to fight back hard:flexed_biceps::United_States::oncoming_fist:,elections2020,3,elections2020 sleepy is not only a pedophile also a rapist he is a criminal together with the corrupt communist democrat party and the people in the ills who are making voter fraud are as garbage as them time to fight back hard:flexed_biceps::United_States::oncoming_fist:,1,0,1.1272778511047363
2016,Sleepy <user> is not only a pedophile also a rapist he is a criminal together with the corrupt communist democrat party and the people in the ills who are making VOTER FRAUD are as garbage as them TIME TO FIGHT BACK HARD💪🇺🇸👊 <url>,offensiveness detection,5,en,1,test,0.4,0.6,Elections2020,0,334,sleepy is not only a pedophile also a rapist he is a criminal together with the corrupt communist democrat party and the people in the ills who are making voter fraud are as garbage as them time to fight back hard:flexed_biceps::United_States::oncoming_fist:,elections2020,3,elections2020 sleepy is not only a pedophile also a rapist he is a criminal together with the corrupt communist democrat party and the people in the ills who are making voter fraud are as garbage as them time to fight back hard:flexed_biceps::United_States::oncoming_fist:,1,0,1.1272778511047363
2034,<user> <user> <user> <user> Your whole family is delusional,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,60,your whole family is delusional,elections2020,3,elections2020 your whole family is delusional,0,1,1.215041160583496
2065,"<user> Opinion: The name ""white supremist"" is fake and another Democrat creation for the bogey man. It has been used to hide the swamp’s evil deeds... #MAGA <user>",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,60,"opinion: the name ""white supremist"" is fake and another democrat creation for the bogey man. it has been used to hide the swamp’s evil deeds... #maga",elections2020,3,"elections2020 opinion: the name ""white supremist"" is fake and another democrat creation for the bogey man. it has been used to hide the swamp’s evil deeds... #maga",0,1,0.89310622215271
2302,<user> <user> <user> Do these mofo's really believe that they are the only ones that have guns?  I wear a red hat too. <url>,offensiveness detection,5,en,1,test,0.2,0.8,Elections2020,1,60,do these mofo's really believe that they are the only ones that have guns? i wear a red hat too.,elections2020,3,elections2020 do these mofo's really believe that they are the only ones that have guns? i wear a red hat too.,0,1,0.8302243947982788
2336,Posted by Q. Bernie Bros said on Fox earlier that Q and Qanons are white supremacists. What a joke. <url>,offensiveness detection,5,en,0,test,0.8,0.2,BLM,1,546,posted by q. bernie bros said on fox earlier that q and qanons are white supremacists. what a joke.,blm,3,blm posted by q. bernie bros said on fox earlier that q and qanons are white supremacists. what a joke.,0,1,0.9735226631164551
2402,"<user> <user> <user> Every single word that came out of Biden’s mouth was a lie, every statement, every word and every answer. Never in my life have I seen a presidential candidate get away with so much. Why is this? It should absolutely cause every true American concern",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,1,272,"every single word that came out of biden’s mouth was a lie, every statement, every word and every answer. never in my life have i seen a presidential candidate get away with so much. why is this? it should absolutely because every true american concern",elections2020,3,"elections2020 every single word that came out of biden’s mouth was a lie, every statement, every word and every answer. never in my life have i seen a presidential candidate get away with so much. why is this? it should absolutely because every true american concern",0,1,1.9347360134124756
2509,"Nice try, loser!  Jemele Hill Mocks Pence Appointment to Head Coronavirus Response <url>",offensiveness detection,5,en,1,test,0.4,0.6,Covid-19,0,515,"nice try, loser! jemele hill mocks pence appointment to head coronavirus response",covid-19,3,"covid-19 nice try, loser! jemele hill mocks pence appointment to head coronavirus response",1,0,1.136622667312622
2599,Trump Admits He’s Blocking Coronavirus Oversight Because Of ‘Trump Haters’ <url>,offensiveness detection,5,en,0,test,0.8,0.2,Covid-19,1,515,trump admits he is blocking coronavirus oversight because of ‘trump haters’,covid-19,3,covid-19 trump admits he is blocking coronavirus oversight because of ‘trump haters’,0,1,1.3818466663360596
2719,"listened to a couple of j cole songs describing scenarios just like George Floyd’s, &amp; i’m lost for words on how shit like this goes on in da world",offensiveness detection,5,en,1,test,0.2,0.8,BLM,1,21,"listened to a couple of j cole songs describing scenarios just like george floyd’s, & i am lost for words on how shit like this goes on in da world",blm,3,"blm listened to a couple of j cole songs describing scenarios just like george floyd’s, & i am lost for words on how shit like this goes on in da world",0,1,1.0896084308624268
2750,<user> Dictatorship is not for me🖕,offensiveness detection,5,en,0,test,0.8,0.2,Elections2020,1,64,dictatorship is not for me:middle_finger:,elections2020,3,elections2020 dictatorship is not for me:middle_finger:,0,1,2.1321444511413574
2752,A fucking pastor. A fucking pastor? A FUCKING PASTOR?!?!,offensiveness detection,5,en,1,test,0.2,0.8,BLM,0,64,a fucking pastor. a fucking pastor? a fucking pastor?!?!,blm,3,blm a fucking pastor. a fucking pastor? a fucking pastor?!?!,1,0,1.4817036390304565
2806,<user> <user> <user> <user> Trumptards lie about anything.,offensiveness detection,5,en,1,test,0.0,1.0,Elections2020,1,272,trumptards lie about anything.,elections2020,3,elections2020 trumptards lie about anything.,0,1,1.2523330450057983
2872,<user> One these Sons is a Crackhead who used his father's Office to take millions of dollars from Burisma Ukraine and 3.5 million from the Communist Mayor of Moscow's wife. <url>,offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,0,21,one these sons is a crackhead who used his father's office to take millions of dollars from burisma ukraine and 3.5 million from the communist mayor of moscow's wife.,elections2020,3,elections2020 one these sons is a crackhead who used his father's office to take millions of dollars from burisma ukraine and 3.5 million from the communist mayor of moscow's wife.,1,0,0.9356290698051453
2923,"<user> Veterans choice for me. You coward before him dude. Wish you would have showed more restraint when he acted out. Showing restraint when heckled is true leadership. Trump performed as expected but you, I wish you would have shown more leadership.",offensiveness detection,5,en,0,test,0.6,0.4,Elections2020,0,21,"veterans choice for me. you coward before him dude. wish you would have showed more restraint when he acted out. showing restraint when heckled is true leadership. trump performed as expected but you, i wish you would have shown more leadership.",elections2020,3,"elections2020 veterans choice for me. you coward before him dude. wish you would have showed more restraint when he acted out. showing restraint when heckled is true leadership. trump performed as expected but you, i wish you would have shown more leadership.",1,0,1.451607346534729
3074,"<user> <user> <user> <user> They are morons, they vote Trump",offensiveness detection,5,en,1,dev,0.2,0.8,Elections2020,0,212,"they are morons, they vote trump",elections2020,3,"elections2020 they are morons, they vote trump",1,0,1.1250113248825073
3079,"Decent #Americans - those of us who love our families, our communities, our country - vastly outnumber the Q-Ball #MAGA #WhiteSupremacists. And we are standing by, but not standing back. The nightmare begins to end in 33 days... #PresidentialDebate2020  #shutupman #debates",offensiveness detection,5,en,1,dev,0.4,0.6,Elections2020,0,425,"decent #americans - those of us who love our families, our communities, our country - vastly outnumber the q-ball #maga #whitesupremacists. and we are standing by, but not standing back. the nightmare begins to end in 33 days... #presidentialdebate2020 #shutupman #debates",elections2020,3,"elections2020 decent #americans - those of us who love our families, our communities, our country - vastly outnumber the q-ball #maga #whitesupremacists. and we are standing by, but not standing back. the nightmare begins to end in 33 days... #presidentialdebate2020 #shutupman #debates",1,0,0.8332357406616211
3089,"<user> Your so lost and incompetent, you probably voted for TRUMP.",offensiveness detection,5,en,1,dev,0.0,1.0,Elections2020,1,418,"your so lost and incompetent, you probably voted for trump.",elections2020,3,"elections2020 your so lost and incompetent, you probably voted for trump.",0,1,1.0151501893997192
3089,"<user> Your so lost and incompetent, you probably voted for TRUMP.",offensiveness detection,5,en,1,dev,0.0,1.0,Elections2020,1,747,"your so lost and incompetent, you probably voted for trump.",elections2020,3,"elections2020 your so lost and incompetent, you probably voted for trump.",0,1,1.0151501893997192
3089,"<user> Your so lost and incompetent, you probably voted for TRUMP.",offensiveness detection,5,en,1,dev,0.0,1.0,Elections2020,1,573,"your so lost and incompetent, you probably voted for trump.",elections2020,3,"elections2020 your so lost and incompetent, you probably voted for trump.",0,1,1.0151501893997192
3093,<user> <user> Unless #CocaineMitch ends up being majority leader again.,offensiveness detection,5,en,0,dev,0.6,0.4,Elections2020,1,105,unless #cocainemitch ends up being majority leader again.,elections2020,3,elections2020 unless #cocainemitch ends up being majority leader again.,0,1,1.2197747230529785
3094,Garbage in Garbage out.,offensiveness detection,5,en,0,dev,0.8,0.2,Covid-19,1,64,garbage in garbage out.,covid-19,3,covid-19 garbage in garbage out.,0,1,1.2581143379211426
3107,"<user> Jeez Louise, don’t scare us like that. Where in the hell have you been? Hiding from the coronavirus?",offensiveness detection,5,en,0,dev,0.8,0.2,Covid-19,0,60,"jeez louise, do not scare us like that. where in the hell have you been? hiding from the coronavirus?",covid-19,3,"covid-19 jeez louise, do not scare us like that. where in the hell have you been? hiding from the coronavirus?",1,0,0.7980151176452637
3108,<user> <user> Yeah liars are good looking at you in the face and tell me what you want to hear! TRUMP 2020,offensiveness detection,5,en,0,dev,0.8,0.2,Elections2020,1,616,yeah liars are good looking at you in the face and tell me what you want to hear! trump 2020,elections2020,3,elections2020 yeah liars are good looking at you in the face and tell me what you want to hear! trump 2020,0,1,1.0749397277832031
