instance_id,offensiveness,cleaned_text,cleaned_domain
534,0,this is just the navajo nation....not all native american tribes throughout the us. these numbers are horrendous and it is all on #presidenttestingisoverrated and his racist presidency! #racismmustdieforminoritiestolivefree we must #oustmrunstableunfitandunable,covid-19
602,1,"first they are rapists and criminals, now they are carrying the coronavirus. you stupid fuck!",covid-19
641,1,and dianne feinstein! it is not time to be partisan here. clean the entire house and oust all these motherfuckers!,covid-19
652,1,what a fucking moron :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,covid-19
655,0,"jesus, the inferior maga species here believes the guest is wearing that mask for covid protection. he is wearing it to make a point.",covid-19
658,1,"find these emails and give them to the internet. 600,000 emails about child sex trafficking are in this bitch's laptop",blm
681,1,"this is not about #blacklivesmatter, it is all about the #snatchandgrab #chaos and #looting. such a bunch of crap! how about maximum penalties for looters. max pain for the max pain they inflict on others. what a disgrace!",blm
687,0,#trumpgenocide #trumpgopgenocide #trumpliesamericansdie he is tweeting a lot because of mass death to americans distracting you,covid-19
689,0,"my church is pretty dope. ⁦ —⁩ bed-stuy church helps pay off $4m medical bills amid coronavirus bed-stuy, ny patch",covid-19
694,1,"bs look at michigan's numbers, bad. forced nh to take covid positive killing thousands this research is dumbocrat garbage.",covid-19
705,0,"'i miss mommy': families shattered by covid forge new paths via extremely sad article, tugs at the heart. :crying_face::crying_face:",covid-19
708,1,can you not be a flaccid prick for one second in your life? dang.,covid-19
713,0,the federal government this week signaled its willingness to take over any part of the food industry that is not functioning properly to keep production flowing. #fda #covid19,covid-19
729,0,minneapolis new york city los angeles washington dc buffalo turns out the real thugs are the police.,blm
734,0,anonymous replies to donald trump on twitter pinching about jeffrey epstein killing #epstein,blm
748,0,"sending a letter with one hand, funding the peterborough police to the tune of 1.9 million with the other. #liberalhypocrisy #shameful #notmyminister",covid-19
760,1,stfu bitch,covid-19
763,0,adam silver literally consulting a d and d manual to see if he can save the season with a titanium ring of disease resist +6.9 lmfao,covid-19
785,0,condemn the death of george floyd a murder by the racist american state via independent,blm
795,1,what to do when troops occupy the lincoln memorial.. #blacklivesmatter #tyrannymatters,blm
820,0,"george floyd was not resisting, sir racist",blm
822,1,goodbye cali. boy this modern day legislators are just flat out dumb.,covid-19
906,0,"the only thugs in this scenario are the four scum police officers who were involved in the murder of george floyd! these people who were protesting peacefully, their voices were falling on deaf ears and subsequently getting shot with rubber bullets and tear gas!",blm
935,1,#horseslivesmatter they have been around a lot longer than these #thugs :middle_finger: #protests2020 #protests #thugs #antifascum #blacklivesmatteruk #whitelivesmatter,blm
985,0,dude this guy is serious? and trump retweeted this?????? please anonymous take them out,blm
1010,0,or the 5g conspiracy crazies,blm
1047,0,"""#complicitcorruptgop :face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth: #trumpliedpeopledied :double_exclamation_mark: ""it does not bother me,"" one gop senator said of trump's admissions to bob woodward. ""i do not feel like he was ever lying to anybody."""" via",covid-19
1080,0,did you know that the human placenta came from a virus that infected humans long time ago? . . #virus #corona #covid #placenta #pregnancy #fertility #infertility #research #woman #child #ttc #infertility #womenshealth #viruscorona,covid-19
1084,1,"mr cronyn you sanctimonious,slithering, slimy, shitbag! you & your ilk treated pres. obama like one of your slaves. #blacklivesmatter #bidenharris2020",blm
1087,0,"it is that black and white, we have led the world in covid cases per 100,000 and deaths per 100,000 since april...and it is now peaking... that is the horrific part...it is peaking now! after months of leading the world.",covid-19
1115,0,what is the real story? :face_with_raised_eyebrow:#covid_19 #wwg1gwa,covid-19
1140,0,you all wrong:face_with_tears_of_joy::woman_facepalming_light_skin_tone:,covid-19
1198,1,freaking white liberals...,blm
1204,1,wish covid could catch you,covid-19
1207,0,i truly loathe mitch mcconnell.,covid-19
1231,1,"biggest trump sin, & there are many! #covid19 #voteblue #bidenharris2020 #trumpliespeopledie #racisttrump",covid-19
1234,1,"all i see are a bunch of complicit cowards in the gop that are just fine with almost 200,000 americans who have died from covid. they are fine with pussy grabbing. they are fine with rape. they are fine with him hiding his tax returns. they are fine with the hateful rhetoric",covid-19
1251,1,joe biden is a gd disaster. back to the basement now with joe. #youaintblack,blm
1254,0,scott atlas ought to have his medical license revoked for his lies about covid19 and masks. #inners,covid-19
1270,1,"just like your lies joe we, the american people have been lied to about the numbers of cases... but guess what just like your lies are being exposed daily so are the true numbers...",covid-19
1286,1,"this was in maryland, share this shit until somebody recognizes this scumbag",blm
1305,1,"i think it should be legal to assassinate him for this. not that anyone should do it, but if they were to do so i do not think it should be considered a crime.",covid-19
1376,0,"ion care about credit scores, jobs, nothing after this covid shit. white saw an opportunity for black genocide and took it. i am blacking out. i am done. joe and kamala be prepared because this are not donald trump. this is white people.",covid-19
1403,1,niggas go to one race or one festival then talk about how homesick they are because covid holding them back. shut the fuck up :face_with_tears_of_joy:,covid-19
1408,0,"plz read the book ""the delectable negro"", how whites were engaged in the practice of eating their slaves during slavery. #blm #blackwomen #blacklivesmatter:raised_fist_medium-dark_skin_tone: #sandrabland #justiceforgeorgefloyd #tamirrice #protest…",blm
1430,1,your ignorance is very clear,covid-19
1460,1,"screw that. does not matter what was left him, regardless of how overly above adequate it was. drumpf is 1207 days into his administration. 83 effing percent. he is incompetent and this is bullshit race bait.",covid-19
1474,0,what you all think was really going down :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::eyes::face_screaming_in_fear: #tiktok #coronavirus,covid-19
1479,1,"this is what liberals are...vile, discussing, vulgar, shallow, petty, hypocritical and losing.",covid-19
1490,0,michelle obama?i cannot say it!,covid-19
1506,0,i support philonese's call for the death penalty. the murderer knew exactly what he was doing. now he needs to face the consequences. #nojusticenopeace #icantbreathe #blacklivesmatter,blm
1537,0,watch inmates at a federal prison in downtown chicago bang on walls and flash lights in solidarity with george floyd protesters #georgefloyd,blm
1544,1,"fuck no. electric vehicles are important, covid19 is dumb as hell.",covid-19
1545,1,"130,000 dead but do not even think about suing fox news if you want another thousand bucks to tide you over until who even knows. the gop should be banned the way the nazi party is banned in germany.",covid-19
1547,1,hehehe pence is very dirty hands he used it in his nose and some other lower parts in his back body :squinting_face_with_tongue::face_with_tears_of_joy:and he wants to applaude corona with those hands omg,covid-19
1554,1,nigga like me would have sent him to the er wit my bat,blm
1574,1,"with a mask, #blacklivesmatter thank you, senator",blm
1582,0,"i am not reading that shit, cameron.",covid-19
1660,0,i love how she feels the exact same way that i do :loudly_crying_face::loudly_crying_face::loudly_crying_face:,blm
1678,0,"2 chainz reopening atlanta restaurants for dine-in service: escobar season has returned for 2 chainz ... the rapper is reopening his atlanta restaurants for sit-down service, and he says he has a plan for keeping folks safe from covid-19. both of 2…",covid-19
1715,1,that there are people in the us seriously considering voting for this buffoon leads me to believe our problems will continue long after trump is gone.,covid-19
1761,0,"if we (meaning the current administration) had acted sooner, and with prudential leadership, covid would have had less effect on such a tremendous economy. cannot blame that shit on china, russia, or antfa. it is all on trump. #twitterwimp",covid-19
1789,1,liberals hoping coronavirus gets worse is sickening,covid-19
1798,0,"#patrobertson suggests same-sex marriage, abortion among reasons for #covid19. man, i am glad the blasphemous pat does not speak for everyone. or dies he? i guess pat is talking about the old testament god? not the new testament god? via",covid-19
1819,1,"all the lunatic libs have dogs and cats on their pages. i am convinced they love covid & the masks because it covers their faces. liberal women as a whole, are usually disgusting, unkempt, slovenly, fat, and smell like piss. may i suggest full burka for those who i just described",covid-19
1876,0,i will never forgive the us justice system,blm
1920,0,hypocrisy anyone? (yawn)!,covid-19
1953,1,"how dumb :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: after playing a full contact game , not swapping jerseys will prevent covid? :man_facepalming_medium-dark_skin_tone:",covid-19
1960,1,we all hope you & that horrific thief of a wife of yours get #covid19 and then finally get arrested for your crimes you sociopath. maybe we will get lucky & you will both drop dead. #karma,covid-19
1970,0,"we in #pedsicu and #pedscicu dedicate our lives to give our patients the best shot of recovery and returning to happy and healthy lives. while sars-cov-2 may affect children less than adults, it can still be deadly to even previously healthy kids #wearadamnmask",covid-19
1984,0,this young man did not even make it to the hospital. do not brag about numbers while people are dying. do not brag about numbers while children are dying.,covid-19
2020,1,"fucking yikes, riot games. you just dropped valorant, and you are going to say some dumbass shit like that? zoinks, scoob.",blm
2066,0,shout out my boricuas :face_with_tears_of_joy::raised_fist_medium-light_skin_tone::Puerto_Rico:,blm
2078,0,beautiful hand made #blacklivesmatter mask by member mario artiga,blm
2100,0,:thinking_face: evidence please? because it appears you are inflammatory remarks are … false. #maga2020landslidevictory #maga #trump #lyingliberals,covid-19
2113,1,then elect a black as a pope #blacklivesmatter,blm
2163,0,"""i am not saying we were the ones who killed george floyd. but we have to be the ones who pull that cop off his neck!""",blm
2251,1,do i believe the coronavirus is real? yes do i believe it is as serious as it is portrayed? fuck no. do i believe the media is lying? yes do i believe a mask with save you? fuck no,covid-19
2269,1,a fool and his money are soon separated... and then given the covid.,covid-19
2290,0,town hearth server tests positive for covid-19,covid-19
2312,1,democrats are scared :face_screaming_in_fear: and republicans are not.,covid-19
2322,1,death to china,covid-19
2345,1,"according to anonymous avicii did not commit suicide. he was assassinated for having information about the child trafficking network in which donald trump participated, among others, hinting at such information in some of his video clips",blm
2369,1,remember when they used to call this terrorism? but i guess it is not because clearly this guy is not coloured.,blm
2425,0,"my god, it looks like ww3!",blm
2441,0,shocking:face_with_rolling_eyes:,covid-19
2506,0,this!!!!!! #doublestandards,blm
2509,1,"nice try, loser! jemele hill mocks pence appointment to head coronavirus response",covid-19
2617,0,americans are starving and you want to give people that hate us our hard earned money ?????,covid-19
2620,0,loooool how are you so bad at a dance that comes with instructions:weary_face:,blm
2634,1,put him on suicide watch,blm
2640,1,philly has a democratic mayor. shut up about voting.,blm
2737,0,because kentucky republicans have turned into a death cult. they do not care if the elderly and immunocompromised die from covid-19.,covid-19
2752,1,a fucking pastor. a fucking pastor? a fucking pastor?!?!,blm
2793,1,"this f***ing aged well, guess what??? :loudly_crying_face::loudly_crying_face::loudly_crying_face:",blm
2805,1,this is what real leadership sounds like. not trump and biden. for fucks sake can we get some competence up top?,covid-19
2810,1,"jeff bezos became the worlds first trillionaire during the pandemic, no one can explain to me how taxing the fuck out of him is immoral or radical",covid-19
2844,0,iwf 2020 updates covid-19 preparations for august event #woodworking #manufacturing #business #management #iwf,covid-19
2848,0,"and while booing, their spit probably led to several new covid positive cases",covid-19
2866,1,"you shit the bed and did not order a single ventilator. you cannot spell ""covid"" today.",covid-19
2869,0,covid-19: inslee issues order to restart state's health care system kima,covid-19
2885,0,"""the most succinct response came from journalist yashar ali, a contributor to huff post and new york magazine, who tweeted: """"god this guy is so incompetent."""" this is not the 1st time that de blasio has been a bit tone deaf when it comes to his response to the coronavirus pandemic""",covid-19
2917,0,he did this to other white people he really racist,blm
2960,1,"your democrat chinese virus pandemic of panic paranoia and fear election year strategy failed, your graphs are bullschiff, and your race war tactic will fail too, loser",covid-19
2971,0,#malikkingbell message to the youth link in my bio #georgefloyd #breonnataylor #mymessage #sacramento #sacproud #blm #blacklivesmatter #art #music #tiktok california,blm
3001,0,satire is officially dead. trump and his administration have destroyed it.,covid-19
3061,1,"you r the biggest piece of :pile_of_poo: on tv. how the hell can you actually sleep at night with all your crappy advice? how dare you even suggest we are overreacting. ""a lot of doctors"" feel ""the worry & the panic about coronavirus is going 2 b worse than the actual coronavirus for them""",covid-19
3062,0,"the tv remote control is for things like this, soyo can quickly change the channel so you are not sickened by this type of crap, which no commode in the world is equipped to handle.",covid-19
3063,0,21% of the coronavirus deaths are in the you.s. you.s. is only 4.25% of the worlds population. let that sink in. :microbe::United_States::globe_showing_Americas:,covid-19
3065,1,"""just when you think """"come on, even trump supporters cannot be that stupid..""""""",covid-19
3066,0,lmao sassy joe periodt,elections2020
3068,1,"""after mocking trump for suggesting hydroxychloroquine might be effective against coronavirus, media starts to admit that maybe it is —ace """"but they are not crediting trump and they are not admitting their own stupidity and lies"""" :backhand_index_pointing_down:",covid-19
3069,1,"that is stupid. our grandkids are frequent vectors of colds, flus and other infections they contract in school. the #china virus, being more contagious would be worse.",covid-19
3070,0,did russia hack twitter or does it have covid-19?,covid-19
3073,1,spend the fucking money you dipshits!!!!,covid-19
3074,1,"they are morons, they vote trump",elections2020
3077,1,"""i just realized they are idiots.""",covid-19
3079,1,"decent #americans - those of us who love our families, our communities, our country - vastly outnumber the q-ball #maga #whitesupremacists. and we are standing by, but not standing back. the nightmare begins to end in 33 days... #presidentialdebate2020 #shutupman #debates",elections2020
3080,0,how convenient. fbi shuts down foia operation until at least march 30 over coronavirus panic via dumb wray! just another excuse to try to make it go away!,covid-19
3081,0,so now elected officials are magically responsible for things that happen on their watch. covid deaths are on you then you incompetent boob.,covid-19
3082,0,"what insights did you gain from the covid-19 liability legislation webinar w/ if you missed the live discussion, you can view the recording here.",covid-19
3083,0,south korean cdc worried about coronavirus second wave.,covid-19
3084,0,this is all bs everything i love is getting closed because of covid:pensive_face:,covid-19
3086,1,"its called flu ffs. also it started in wuhan, not your fucking christmas work party",covid-19
3088,0,this dirty little fact needs to be exposed.,covid-19
3089,1,"your so lost and incompetent, you probably voted for trump.",elections2020
3091,0,"i am still not over how trump literally abused and the american people in front of a global audience, assaulting us with lies and insulting our intelligence as if we have not lived in his nightmarish america for the past 3-4 years. #debates2020",elections2020
3092,0,"sure we do. nice talking point. now piss off, wanker.",elections2020
3094,0,garbage in garbage out.,covid-19
3095,0,antifa literally only means anti-fascist. all the troops that defeated nazi germany in wwii? antifa.,elections2020
3096,0,because a.) it is not an actual problem according to people who study and report on this issue and b.) speculating about such a thing without evidence could undermine american faith in the voting process. two solid reasons.,elections2020
3098,1,this is is the stupidest bullshit i have seen this week....,covid-19
3099,1,"thanks, leigh. i am feeling a lot better. i am just glad i did not have the coronavirus. i hear that is some nasty shit.",covid-19
3100,0,if you vote for biden - you just hate trump ! period !,elections2020
3102,1,when hell freezes over! you communists! :thumbs_down::middle_finger:,elections2020
3103,0,hey tell adam corolla that one of the risk factors for dying from covid is a small penis.......so he really should be concerned :man_dancing_light_skin_tone:,covid-19
3104,1,you do not just stop counting votes in the middle of the count. every battleground state that trump was leading mysteriously stopped the count. some fuckery is going on and we will not stand for it.,elections2020
3106,1,"she is a disgrace to all of us here in ri, she should be arrested!!!!",covid-19
3107,0,"jeez louise, do not scare us like that. where in the hell have you been? hiding from the coronavirus?",covid-19
3108,0,yeah liars are good looking at you in the face and tell me what you want to hear! trump 2020,elections2020
3109,1,corrupt biden family !!! now all is coning out!!!!,elections2020
3111,0,at 6:30pm trump* will throw paper towels at coronavirus.,covid-19
3112,1,"i love the hawaiian use of the word ""stupid"" as in ""acting stupid."" it does not mean someone is dumb; it just means someone is doing something willfully asinine. like not taking covid19 seriously.",covid-19
3113,1,coronavirus: sickos spit on elevator buttons amid outbreak in china via,covid-19
3114,0,it is still so important don‘t be quite about this topic!! silence is vilonce #blacklivesmatter,blm
3116,1,congratulations on pissing away any credibility as a news organization you had left,covid-19
3117,0,"yes, democrats have indeed become more violent rioting and attacking non democrats since the day the president won over hillary. #libertarian2020 #jojorgensen2020 #letherspeak #nobiden2020",elections2020
3118,0,this is so gross. the attorneys and judge should be held accountable for this woman's death. stop letting criminals out of prison because of covid-19.,covid-19
3119,0,turn the equipment away from him!,covid-19
3121,1,one of my coworkers has a regular cold (covid-19 negative) and has been wearing a mask to work. he might as well be a leper :face_with_tears_of_joy:,covid-19
3123,1,and they are still going ahead with cutting of food stamps on 1st of april! while the coronavirus makes the poor more susceptible to poverty! fuckin monstrous bastards! i hope the magas are paying attention!,covid-19
3124,0,this shit still hurts like a bitch,covid-19
3126,0,"but hunter is. he is the criminal, like yourself. is beau happy with your words to troops ""clap, you stupid bastards"", and weak support of leos? i wonder what beau thinks of you.",elections2020
3130,0,i said the same thing! it is really the only sane response.,elections2020
3134,1,"""gnc pushed out idea that trump is as """"nice"""" as biden! what a joke! :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: yeah! it is the raging tweets, grabbing women's pussy's, """"nasty"""" women comments, lack of empathy, liar, covid incompetence, mocking disabled, attacking gold star families....""",covid-19
3136,1,"hey, give donald & pence time - they have got hate rallies to attend. #priorities",covid-19
3137,1,"supporting white supremacists vote him out in the pocket of putin #trump is no commander in chief - no moral compass watch the #comeyrule lying to citizens about covid19 people dying he has failed #america rt i am the colonel, i approve this message.",elections2020
3139,0,no kizzy .... you want to change sum!! let convicted felons vote!,elections2020
3140,0,ok that is why you are trying to tweet this so that people vote for you and not the other guy... :grinning_face_with_sweat: how much of a #hypocrite do you have to be to pretend to promote #unity while promoting yourself #electionday #election2020 #elections2020 #elecciones2020 #votetrump2020,elections2020
3143,1,"speaking of coronavirus look at this nitwit eating what he is eating and licking his fingers, i wonder how many hands he shook before he did that?",covid-19
3148,1,"muhfuckas are never concerned about the health/wellbeing of black people, but now that we are pretty much chillin during the coronavirus shit, you all curious",covid-19
3149,0,i do not buy it. he is not trying to win.,elections2020
3151,1,you are a fucking idioti,elections2020
3152,0,i honestly hate the way these discussions quickly turn into an arms' race of emotional manipulation - but.... consider this article,covid-19
3153,0,"hello ma, subscribe to laycon on youtube and see if you will not win the elections. #iconsstreamingparty",elections2020
3154,1,god these people are stupid,elections2020
3157,1,we going to beat the crap out of trump this year for sure.,elections2020
3159,0,what is the truth!! stop believing data spins to control your fear,covid-19
3160,1,"oh really you did not say ""stupid bastards"" to the military huh what is this you lying two face dog pony listen to near end its real clear you say it! your a liar!",elections2020
3161,1,"you lose, idiot.",elections2020
3164,0,"""""""wearing a face mask is uncomfortable!"""" so is dying alone in a hospital ward from #coronavirus wear a face mask, dammit! we do not feel like dying because you were too lazy to cover up!!""",covid-19
3165,0,"us sanctions have impaired iran’s ability to fight #covid19 at least 16,000 infected, 1,000 dead health, hygiene, access to medical care are human rights must act",covid-19
3166,1,the white house just issued a statement saying that they are treating trump like the racist grandparent at thanksgiving.,covid-19
3169,0,"honestly after covid & this movement i will truly never be able to be in community, associate with, or love a gentrifier again. i thought it was something i could look past, after covid and this movement, i cannot anymore.",covid-19
3170,0,joe just are not that guy though. he is never been that guy. it is just not who he is. this is why dems desperately needed a fighter. someone who does not give a shit about the other side.,elections2020
3171,1,tell the boy with the covid-19 is a lie sign to take all that shit off he do not need it,covid-19
3172,1,"shut up mr dump was blatantly racist and inciting problems if that is something and someone you want to support that is up to you, but you will be remembered in history just as bad as mr dump will be...do not worry about that your grandkids will not be remembering you with fondness!",elections2020
3173,0,8 years of no scandals. you can go back to that. #44thpresident #barackobama #bidenharris2020 #bidenharris #bidenharristosaveamerica #votebluenomatterwho11320 #votebluenomatterwho2020 #votebluetosaveamerica #voteblue2020 #resistance #resist,elections2020
3176,0,i needed more time to warm up! no excuses for not tuning in - we have given you more time to check things off that to-do list! see you soon,covid-19
3177,0,"you massively screwed up the early stages of a contagion response, turning covid 19 into a pandemic here in the us....liar!!",covid-19
3178,0,"donald j trump infected the country with covid his cabinet the gop congressional senators his appointed supreme court judge and her children with coronavirus he knew he was infected with the virus and he just did not care""he is the leading because of death in the united states.""",covid-19
3180,1,"you want to bet we fucking care, alright. how much is putin paying you you scum?",covid-19
3181,0,"ah, yes, must admire the classy behavior of the youth in america.",covid-19
3184,0,because covid-19 is racist,covid-19
3188,0,tribes defend themselves against a pandemic and south dakota’s state government #shameonyou ⁦,covid-19
3190,0,"flu statistics for the 2019-2020 season (cdc stats) are far worse that cov-19 despite the fact we have vaccinations and antivirals for the flu. cases: 38,000,000 hospitalizations: 390,000 deaths: 23,000 pediatric deaths: 149. why are we destroying our country over covid19?",covid-19
3191,1,lying liberals,elections2020
3194,1,you love seeing people cry? fucking sadist. it is not democrats or republicans. we are humans.,elections2020
3197,0,"saf saf what did i tell you i do not play no games, do not have no bullshit time for games what is shaking my saf saf smoothes",elections2020
3200,0,i am not quite sure where to start. especially with all this covid shit.,covid-19
3201,0,"referred to this as ""the year of our lord""? she made $3 million last year and gave nothing to religious organizations. doubt she even puts change in the red kettle at christmas. #agentsofsatan",elections2020
3204,1,"almost everyone is recovering. its the flu now. only demented, treasonous libs already voting for dementia joe are obsessed with covid. you are in for a shock.",elections2020
3206,1,"get your head out of trump fat behind , smell the fresh air and follow the news, not guiliani",elections2020
3207,0,about global warming he foolishly said no plan and the illiterate said something about clean air and water! is that all to the weight of the subject! he is an evil clown :clown_face: who run usa :United_States: as his private company,elections2020
3209,0,crazy...,elections2020
3210,0,the media trying to scare people about 7 coronavirus deaths when 5 million americans die per year from being obese. ##staywoke #banfatpeople,covid-19
3211,0,these 38% of americans are also not eating chinese food because they think that is how you get it :upside-down_face:,covid-19
3212,1,"first of all why are there jim crow laws in an all black country & why are you all allowing it, secondly why are you trying to eat at an asian restaurant when the coronavirus is out!?!",covid-19
3213,0,kushner imprisoned,covid-19
3216,0,i bet there is not enough fake tan in the world to cover how pale trump’s face is looking right now #uselections2020 #elections2020 #election2020,elections2020
3217,0,neither am i. #trump2020,blm
3218,0,look at this fool...#dowfutures,covid-19
3220,1,"it is official: my parents, registered republicans who voted for donald trump in 2016, cast their ballots for to say that i am full of joy would be an understatement.",elections2020
3221,0,"""hate when they say nothing to worry about ! ! :woman_facepalming_medium-dark_skin_tone: when numbers are rising ... cases are """"popping up"""" covid-19 statistics - global cases 92,818 total deaths 3,160 :face_with_steam_from_nose:""",covid-19
3222,0,death rates with covid are plummeting! why is the media not telling us this? why do we have to dig to find out truth? the media needs to be drained of the muck and mire it consists of! the media is the enemy of the american people!,covid-19
3223,1,"president trump refuses to condemn white supremacist. given that, anyone who votes for trump obviously likes having a racial white house we now know with no doubt trumps racial foundation. if you walk with a racist you are one.",elections2020
3226,1,*lower prescription costs * dissolving obamacare *opening the country back up *his willingness to federally come in and save your ruined democratic cities *his corona response *your corrupt son going down just to name a few.. lmk if you want more examples #trump2020,elections2020
3227,0,here is how much downstate new york is skewing the united states' coronavirus numbers #newsandpolitics via,covid-19
3229,0,i am afraid of covid-19. it is already killing people like me.,covid-19
3230,0,oh good. the conditions i hate the most. :face_with_tears_of_joy:,covid-19
3232,0,"cashier at chipotle today asked me if my hat was about covid and this year. i go no, it is a band. she looks down and audibly says ""god dammit""",covid-19
3235,1,lol all you have. what a gullible little loser.,elections2020
3239,0,amen. did you hear that trump administration? get the hell out of the way and let people who know what they are doing take care of this before you kill more people with your blatant disregard and ignorance.,covid-19
3240,1,"has sold his soul to the chinese commy party and now he wants yours! so if you screwed up and voted for biden, plz go find someone who can cancel your vote out! #votetrump2020",elections2020
3241,1,the worst who is ever lived. a blatant conman.,elections2020
3242,1,"an attack on mail in voting is an attack on disabled people, college students, and so many others. what a clown. #dumptrump #votehimout2020 #cripthevote #votelikeyourlifedependsonit #bidenharris2020",elections2020
3244,0,this is pure torture :confused_face:,covid-19
3245,0,link?,covid-19
3246,0,"you mean his did not refute the lie that you told that has been repeatedly proven to be false? you are so dishonest, it is pathetic.",elections2020
3247,1,they should all go directly to jail. i do not give two shits what party you are.,covid-19
3248,1,"the amount of men i have seen, that flat out refuse to wash their hands after using the bathroom, is appalling. this does not surprise me, but still disgusts me also the amount that do not fucking flush!!! breh, the lever is right fucking there *internally fucking yelling*",covid-19
3249,1,or maybe hurricane harvey or irma... ? fuckin chump lmao,covid-19
3250,0,nope. he is toast,elections2020
3252,0,i do not respect but not,elections2020
3253,1,the murder of george floyd was intentional. the cop was his coworker for years. this is sick i am sick all cops are bastards,blm
3255,0,here is a handy image for others #trumpisaracist :backhand_index_pointing_up: #trumpmeltdown #votehimout2020,elections2020
3256,0,"the same mentality, beliefs & attitude of hezbollah which clearly makes houthis a total terrorist militia not to mention they are well provided with ballistic missiles by iran. i do not know why is it so hard for the west to designate houthis as a terrorist group.",covid-19
3258,0,crazy. i have to fight someone now,covid-19
3259,0,"trump desperately tried to get you to crack, by bombarding you with lies and bullshit interruptions. it did not work! you did not crack, or make an ass out of yourself. trump knows he is losing, and he is freaking out. your calm/collected demeanor only enrages him more. good job!",elections2020
3261,1,"did not address how he outright called military stupid bastards. never discussed his schooling,or any important bills he created. beau was a serviceman, we want 2 kno about #hunterthedishonorable #dischargeddrugaddiction who got over3million from a russianmayor #whatwasinhisear?",elections2020
3264,0,"agree x 1000. media organizations made a fortune on this weirdo, and were happy to do it. they knew it was dangerous, they knew it was ridiculous, they are 100% complicit and any of them trying to moralize their position now are completely buggin.",covid-19
3265,0,"by the way this is one of the most idiotic and disgusting statements i have read from anyone about the coronavirus, so good job?",covid-19
3271,0,act like it !,elections2020
3272,0,let us go kill another industry while we are at it #obtusenessisadisease,covid-19
3273,0,"and you are stupid enough to think that one man caused this. when election day comes, most will realize that covid will go away and vote who is best for the economy",covid-19
3274,1,inspiration porn is deadly.,covid-19
3275,0,stick to wings and games child,elections2020
3277,1,used many personal insults - he was disgraceful and he will get away with all of it as usual,elections2020
3279,0,sign: justice for poodles bludgeoned to death by officer in coronavirus scare :crying_face:,covid-19
3282,1,i can only wish that the #coronavirus infects every single left-leaning journo ...!particularly the ones that decided to hate tweet on kobe not even a single day after be passed...,covid-19
3283,1,"and you just killed your campaign, all in one tweet.....",elections2020
3286,1,because wallace is unfit and unfair political left wing hack,elections2020
3287,1,please keep laughing at the nutjob,elections2020
3288,0,"sorry folks, we are all the same, no exotic dna to promote your racism.",covid-19
